BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_IST_Lisbon.txt
--------------------------------------------------
O2                                                              
cross_section_air_IST_Lisbon.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
           1   1.000      0.2384      0.5991E+25  0.1303E+25  0.9085E+25  0.1372E+25  0.2055E-13  0.2936E-13   0.000       0.000       0.000       0.000      0.5991E-17  0.1945E-18  0.5796E-17   0.000       1.904       4.000       1.000    
           2   1.007      0.2391      0.5978E+25  0.1304E+25  0.9065E+25  0.1373E+25  0.2060E-13  0.2942E-13   0.000       0.000       0.000       0.000      0.6061E-17  0.1958E-18  0.5865E-17   0.000       1.904       4.000       1.000    
           3   1.014      0.2399      0.5965E+25  0.1304E+25  0.9045E+25  0.1374E+25  0.2065E-13  0.2948E-13   0.000       0.000       0.000       0.000      0.6133E-17  0.1971E-18  0.5936E-17   0.000       1.904       4.000       1.000    
           4   1.021      0.2406      0.5953E+25  0.1305E+25  0.9025E+25  0.1376E+25  0.2070E-13  0.2955E-13   0.000       0.000       0.000       0.000      0.6205E-17  0.1984E-18  0.6007E-17   0.000       1.904       4.000       1.000    
           5   1.028      0.2414      0.5940E+25  0.1306E+25  0.9004E+25  0.1377E+25  0.2075E-13  0.2961E-13   0.000       0.000       0.000       0.000      0.6278E-17  0.1997E-18  0.6078E-17   0.000       1.904       4.000       1.000    
           6   1.035      0.2422      0.5928E+25  0.1307E+25  0.8984E+25  0.1378E+25  0.2080E-13  0.2967E-13   0.000       0.000       0.000       0.000      0.6352E-17  0.2011E-18  0.6151E-17   0.000       1.904       4.000       1.000    
           7   1.042      0.2430      0.5915E+25  0.1307E+25  0.8964E+25  0.1379E+25  0.2085E-13  0.2973E-13   0.000       0.000       0.000       0.000      0.6427E-17  0.2024E-18  0.6224E-17   0.000       1.904       4.000       1.000    
           8   1.050      0.2437      0.5903E+25  0.1308E+25  0.8944E+25  0.1380E+25  0.2091E-13  0.2980E-13   0.000       0.000       0.000       0.000      0.6503E-17  0.2038E-18  0.6299E-17   0.000       1.904       4.000       1.000    
           9   1.057      0.2445      0.5890E+25  0.1309E+25  0.8923E+25  0.1382E+25  0.2096E-13  0.2986E-13   0.000       0.000       0.000       0.000      0.6579E-17  0.2052E-18  0.6374E-17   0.000       1.904       4.000       1.000    
          10   1.064      0.2453      0.5877E+25  0.1309E+25  0.8903E+25  0.1383E+25  0.2101E-13  0.2993E-13   0.000       0.000       0.000       0.000      0.6656E-17  0.2065E-18  0.6450E-17   0.000       1.904       4.000       1.000    
