it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09 -0.11920929E-06  0.22502206E+08  0.46691895E-04  0.10680084E+00  0.10000000E+12  0.46875000E-03  0.60468750E-01  0.16795506E+08  0.11123657E-02  0.10754974E+00 -0.26282802E+06  0.21360000E+06  0.12000000E+00  0.00000000E+00  0.17792347E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      421696  0.18310547E-05 11
     1  0.20000000E-09  0.61627110E-12  0.21909432E+07  0.19357321E+12  0.16272844E+12  0.86444114E+10  0.19235581E+08  0.91552734E-06  0.10636505E+00  0.19964034E+21  0.36621094E-05  0.10663696E+00  0.14148675E+08  0.11160278E-02  0.10719818E+00 -0.24044125E+06  0.21360000E+06  0.10586243E+00  0.10819519E+00  0.19235581E+08  0.91552734E-06  0.10636505E+00  0.29036768E+02      458752  0.18310547E-05 11
     2  0.40000000E-09  0.68616399E-12  0.52734375E+07  0.96858000E+12  0.78433035E+12  0.18008467E+11  0.15850105E+08  0.91552734E-06  0.10531036E+00  0.19912052E+21  0.14648437E-04  0.10662598E+00  0.11890183E+08  0.15032959E-02  0.10647400E+00 -0.19291307E+06  0.21360000E+06  0.10467407E+00  0.10898804E+00  0.15850105E+08  0.91552734E-06  0.10531036E+00  0.58642620E+02      475840  0.18310547E-05 11
     3  0.60000000E-09  0.81818909E-12  0.46554588E+07  0.16903136E+13  0.13581006E+13  0.26029265E+11  0.14195066E+08  0.18310547E-05  0.10437927E+00  0.19862592E+21  0.14648437E-04  0.10662598E+00  0.10373150E+08  0.18511963E-02  0.10582581E+00 -0.23477835E+06  0.21360000E+06  0.10372925E+00  0.10933960E+00  0.14195066E+08  0.18310547E-05  0.10437927E+00  0.85420276E+02      411904  0.18310547E-05 11
     4  0.80000000E-09  0.20059082E-11  0.42114258E+07  0.23250977E+13  0.18610998E+13  0.33205069E+11  0.13341734E+08  0.18310547E-05  0.10353699E+00  0.19820284E+21  0.14648437E-04  0.10662598E+00  0.94314614E+07  0.21112061E-02  0.10517761E+00 -0.20766846E+06  0.21360000E+06  0.10287964E+00  0.10951538E+00  0.13341734E+08  0.18310547E-05  0.10353699E+00  0.95677393E+02      404800  0.36621094E-05 10
     5  0.10000000E-08  0.20612584E-11  0.39367676E+07  0.29050744E+13  0.23201268E+13  0.39818228E+11  0.12856824E+08  0.18310547E-05  0.10274963E+00  0.19780047E+21  0.14648437E-04  0.10662598E+00  0.88012722E+07  0.23016357E-02  0.10451111E+00 -0.15956844E+06  0.21360000E+06  0.10208862E+00  0.10951538E+00  0.12856824E+08  0.18310547E-05  0.10274963E+00  0.10389233E+03      409600  0.36621094E-05 10
     6  0.12000000E-08  0.20978382E-11  0.38085938E+07  0.34535446E+13  0.27541918E+13  0.46063280E+11  0.12573593E+08  0.18310547E-05  0.10198792E+00  0.19740127E+21  0.14648437E-04  0.10662598E+00  0.83561184E+07  0.24371338E-02  0.10381531E+00 -0.12113559E+06  0.21360000E+06  0.10132690E+00  0.10951538E+00  0.12573593E+08  0.18310547E-05  0.10198792E+00  0.11222256E+03      414976  0.36621094E-05 10
     7  0.14000000E-08  0.21210228E-11  0.37353516E+07  0.39861002E+13  0.31758944E+13  0.52067262E+11  0.12416261E+08  0.18310547E-05  0.10124084E+00  0.19700268E+21  0.14648437E-04  0.10662598E+00  0.80321854E+07  0.25305176E-02  0.10309204E+00 -0.97512248E+05  0.21360000E+06  0.10057251E+00  0.10945679E+00  0.12416261E+08  0.18310547E-05  0.10124084E+00  0.12051007E+03      421312  0.36621094E-05 10
     8  0.16000000E-08  0.21343861E-11  0.37353516E+07  0.45137683E+13  0.35940926E+13  0.57916883E+11  0.12345196E+08  0.18310547E-05  0.10049377E+00  0.19660592E+21  0.14648437E-04  0.10662598E+00  0.77958585E+07  0.25817871E-02  0.10233765E+00 -0.82145487E+05  0.21360000E+06  0.99818115E-01  0.10934326E+00  0.12345196E+08  0.18310547E-05  0.10049377E+00  0.12883380E+03      428224  0.36621094E-05 10
     9  0.18000000E-08  0.21406187E-11  0.37353516E+07  0.50450128E+13  0.40155582E+13  0.63674016E+11  0.12335104E+08  0.18310547E-05  0.99746704E-01  0.19620867E+21  0.14648437E-04  0.10662598E+00  0.76270862E+07  0.26110840E-02  0.10156860E+00 -0.74768554E+05  0.21360000E+06  0.99063721E-01  0.10934326E+00  0.12335104E+08  0.18310547E-05  0.99746704E-01  0.13722162E+03      434368  0.36621094E-05 10
    10  0.20000000E-08  0.21410392E-11  0.38085938E+07  0.55868198E+13  0.44458679E+13  0.69386491E+11  0.12369927E+08  0.18310547E-05  0.98984985E-01  0.19581125E+21  0.14648437E-04  0.10662598E+00  0.75132740E+07  0.26110840E-02  0.10076294E+00 -0.67787440E+05  0.21360000E+06  0.98302002E-01  0.10922607E+00  0.12369927E+08  0.18310547E-05  0.98984985E-01  0.14588538E+03      447616  0.36621094E-05 10
    11  0.22000000E-08  0.21370676E-11  0.38635254E+07  0.61453268E+13  0.48899151E+13  0.75090756E+11  0.12437859E+08  0.18310547E-05  0.98212280E-01  0.19541425E+21  0.14648437E-04  0.10662598E+00  0.74457209E+07  0.25964355E-02  0.99942627E-01 -0.62783304E+05  0.21360000E+06  0.97518311E-01  0.10910889E+00  0.12437859E+08  0.18310547E-05  0.98212280E-01  0.15477402E+03      458944  0.36621094E-05 10
    12  0.24000000E-08  0.21296452E-11  0.39550781E+07  0.67261458E+13  0.53521749E+13  0.80817388E+11  0.12528418E+08  0.18310547E-05  0.97421265E-01  0.19501833E+21  0.14648437E-04  0.10662598E+00  0.74172772E+07  0.25744629E-02  0.99100342E-01 -0.65520389E+05  0.21360000E+06  0.96719971E-01  0.10899170E+00  0.12528418E+08  0.18310547E-05  0.97421265E-01  0.16384792E+03      470080  0.36621094E-05 10
    13  0.26000000E-08  0.21203422E-11  0.40649414E+07  0.73345894E+13  0.58368856E+13  0.86591661E+11  0.12633197E+08  0.18310547E-05  0.96608276E-01  0.19462463E+21  0.14648437E-04  0.10662598E+00  0.74215232E+07  0.25524902E-02  0.98250732E-01 -0.83887690E+05  0.21360000E+06  0.95899658E-01  0.10887451E+00  0.12633197E+08  0.18310547E-05  0.96608276E-01  0.17327539E+03      485056  0.36621094E-05 10
    14  0.28000000E-08  0.21092487E-11  0.41931152E+07  0.79757457E+13  0.63481108E+13  0.92435932E+11  0.12744889E+08  0.18310547E-05  0.95769653E-01  0.19423303E+21  0.14648437E-04  0.10662598E+00  0.74516867E+07  0.25213623E-02  0.97366333E-01 -0.10131160E+06  0.21360000E+06  0.95050049E-01  0.10875732E+00  0.12744889E+08  0.18310547E-05  0.95769653E-01  0.18287886E+03      497728  0.36621094E-05 10
    15  0.30000000E-08  0.20979764E-11  0.43029785E+07  0.86544922E+13  0.68897477E+13  0.98369474E+11  0.12856002E+08  0.18310547E-05  0.94909058E-01  0.19384135E+21  0.14648437E-04  0.10662598E+00  0.75010925E+07  0.25103760E-02  0.96487427E-01 -0.11694483E+06  0.21360000E+06  0.94185791E-01  0.10875732E+00  0.12856002E+08  0.18310547E-05  0.94909058E-01  0.19289978E+03      514240  0.36621094E-05 10
    16  0.32000000E-08  0.20868671E-11  0.44311523E+07  0.93754629E+13  0.74655015E+13  0.10440893E+12  0.12959793E+08  0.18310547E-05  0.94022827E-01  0.19345077E+21  0.14648437E-04  0.10662598E+00  0.75636414E+07  0.25030518E-02  0.95586548E-01 -0.13193214E+06  0.21360000E+06  0.93284912E-01  0.10864014E+00  0.12959793E+08  0.18310547E-05  0.94022827E-01  0.20317450E+03      530752  0.36621094E-05 10
    17  0.34000000E-08  0.20771149E-11  0.45776367E+07  0.10142938E+14  0.80787957E+13  0.11056935E+12  0.13052205E+08  0.18310547E-05  0.93107300E-01  0.19306204E+21  0.14648437E-04  0.10662598E+00  0.76350553E+07  0.25067139E-02  0.94671021E-01 -0.14511668E+06  0.21360000E+06  0.92362061E-01  0.10864014E+00  0.13052205E+08  0.18310547E-05  0.93107300E-01  0.21398385E+03      548224  0.36621094E-05 10
    18  0.36000000E-08  0.20686865E-11  0.46875000E+07  0.10960830E+14  0.87327567E+13  0.11686298E+12  0.13129620E+08  0.18310547E-05  0.92169800E-01  0.19267226E+21  0.14648437E-04  0.10662598E+00  0.77099674E+07  0.25213623E-02  0.93740845E-01 -0.15697581E+06  0.21360000E+06  0.91417236E-01  0.10852295E+00  0.13129620E+08  0.18310547E-05  0.92169800E-01  0.22501774E+03      566272  0.36621094E-05 10
    19  0.38000000E-08  0.20617612E-11  0.48156738E+07  0.11832513E+14  0.94300811E+13  0.12330085E+12  0.13191286E+08  0.18310547E-05  0.91206665E-01  0.19228496E+21  0.14648437E-04  0.10662598E+00  0.77790216E+07  0.25506592E-02  0.92803345E-01 -0.16765003E+06  0.21360000E+06  0.90443115E-01  0.10852295E+00  0.13191286E+08  0.18310547E-05  0.91206665E-01  0.23647012E+03      583936  0.36621094E-05 10
    20  0.40000000E-08  0.20568642E-11  0.49255371E+07  0.12760804E+14  0.10173022E+14  0.12989243E+12  0.13238281E+08  0.18310547E-05  0.90221558E-01  0.19189835E+21  0.14648437E-04  0.10662598E+00  0.78353801E+07  0.25909424E-02  0.91851196E-01 -0.17698145E+06  0.21360000E+06  0.89447021E-01  0.10852295E+00  0.13238281E+08  0.18310547E-05  0.90221558E-01  0.24851245E+03      605440  0.36621094E-05 10
    21  0.42000000E-08  0.20530591E-11  0.50354004E+07  0.13748057E+14  0.10963464E+14  0.13664429E+12  0.13272184E+08  0.18310547E-05  0.89214478E-01  0.19150979E+21  0.14648437E-04  0.10662598E+00  0.78787604E+07  0.26348877E-02  0.90877075E-01 -0.18452026E+06  0.21360000E+06  0.88428955E-01  0.10840576E+00  0.13272184E+08  0.18310547E-05  0.89214478E-01  0.26089848E+03      626752  0.36621094E-05 10
    22  0.44000000E-08  0.20503094E-11  0.51452637E+07  0.14796249E+14  0.11802999E+14  0.14356290E+12  0.13295479E+08  0.18310547E-05  0.88185425E-01  0.19112045E+21  0.14648437E-04  0.10662598E+00  0.79114605E+07  0.26824951E-02  0.89884644E-01 -0.19189375E+06  0.21360000E+06  0.87388916E-01  0.10840576E+00  0.13295479E+08  0.18310547E-05  0.88185425E-01  0.27365837E+03      646912  0.36621094E-05 10
    23  0.46000000E-08  0.20484664E-11  0.52368164E+07  0.15907143E+14  0.12693061E+14  0.15065321E+12  0.13311096E+08  0.18310547E-05  0.87138062E-01  0.19072850E+21  0.14648437E-04  0.10662598E+00  0.79353865E+07  0.27337646E-02  0.88870239E-01 -0.19823300E+06  0.21360000E+06  0.86334229E-01  0.10840576E+00  0.13311096E+08  0.18310547E-05  0.87138062E-01  0.28697441E+03      670528  0.36621094E-05 10
    24  0.48000000E-08  0.20473449E-11  0.53466797E+07  0.17082496E+14  0.13635086E+14  0.15791833E+12  0.13321056E+08  0.18310547E-05  0.86068726E-01  0.19033383E+21  0.14648437E-04  0.10662598E+00  0.79520183E+07  0.27850342E-02  0.87837524E-01 -0.20367423E+06  0.21360000E+06  0.85250244E-01  0.10840576E+00  0.13321056E+08  0.18310547E-05  0.86068726E-01  0.30061206E+03      688960  0.36621094E-05 10
    25  0.50000000E-08  0.20466643E-11  0.54382324E+07  0.18324095E+14  0.14630546E+14  0.16536057E+12  0.13328147E+08  0.18310547E-05  0.84981079E-01  0.18993110E+21  0.14648437E-04  0.10662598E+00  0.79629022E+07  0.28399658E-02  0.86790161E-01 -0.20810357E+06  0.21360000E+06  0.84158936E-01  0.10840576E+00  0.13328147E+08  0.18310547E-05  0.84981079E-01  0.31484252E+03      715648  0.36621094E-05 10
    26  0.52000000E-08  0.20462214E-11  0.55297852E+07  0.19633902E+14  0.15681065E+14  0.17298130E+12  0.13334021E+08  0.18310547E-05  0.83875122E-01  0.18952087E+21  0.14648437E-04  0.10662598E+00  0.79691986E+07  0.28948975E-02  0.85720825E-01 -0.21272902E+06  0.21360000E+06  0.83038330E-01  0.10840576E+00  0.13334021E+08  0.18310547E-05  0.83875122E-01  0.32960431E+03      739840  0.36621094E-05 10
    27  0.54000000E-08  0.20458367E-11  0.56030273E+07  0.21014101E+14  0.16788459E+14  0.18078146E+12  0.13340294E+08  0.18310547E-05  0.82754517E-01  0.18910213E+21  0.14648437E-04  0.10662598E+00  0.79719497E+07  0.29461670E-02  0.84629517E-01 -0.21685824E+06  0.21360000E+06  0.81903076E-01  0.10840576E+00  0.13340294E+08  0.18310547E-05  0.82754517E-01  0.34460871E+03      760000  0.36621094E-05 10
    28  0.56000000E-08  0.20453439E-11  0.57312012E+07  0.22467111E+14  0.17954739E+14  0.18876136E+12  0.13348059E+08  0.18310547E-05  0.81608276E-01  0.18867221E+21  0.14648437E-04  0.10662598E+00  0.79727010E+07  0.30010986E-02  0.83523560E-01 -0.21987965E+06  0.21360000E+06  0.80753174E-01  0.10828857E+00  0.13348059E+08  0.18310547E-05  0.81608276E-01  0.36025036E+03      783232  0.36621094E-05 10
