it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.11244458E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.10546875E+00  0.82968750E-01  0.91729139E+05  0.11901855E-02  0.10804321E+00 -0.84009096E+07 -0.10680000E+06  0.12000000E+00  0.00000000E+00  0.88961721E+06  0.11953125E+00  0.11296875E+00  0.00000000E+00      110656  0.36621094E-05 10
     1  0.20000000E-09  0.21328892E-11  0.00000000E+00  0.54190563E+09  0.54296120E+09 -0.33962232E+05  0.11244124E+08  0.18310547E-05  0.10679993E+00  0.26979906E+16  0.18310547E-05  0.10679993E+00  0.91729126E+05  0.11901855E-02  0.10804321E+00 -0.84009019E+07 -0.10680000E+06  0.12000000E+00  0.00000000E+00  0.88961721E+06  0.11953125E+00  0.11296875E+00  0.23624045E+01      110656  0.36621094E-05 10
     2  0.40000000E-09  0.22187604E-11  0.43945313E+06  0.18729844E+10  0.13667101E+10 -0.30162235E+09  0.99615794E+07  0.18310547E-05  0.10671204E+00  0.23016727E+20  0.18310547E-05  0.10679993E+00  0.91648268E+05  0.11901855E-02  0.10804321E+00 -0.83810986E+07 -0.10680000E+06  0.10662964E+00  0.10746460E+00  0.99615794E+07  0.18310547E-05  0.10671204E+00  0.51005672E+01      111616  0.36621094E-05 10
     3  0.60000000E-09  0.23856695E-11  0.80566406E+06  0.14677202E+11  0.94262102E+10 -0.27686602E+10  0.10154310E+08  0.18310547E-05  0.10655090E+00  0.24991591E+20  0.54931641E-05  0.10660950E+00  0.89052726E+05  0.11901855E-02  0.10804321E+00 -0.77398381E+07 -0.10680000E+06  0.10639526E+00  0.10775757E+00  0.10154310E+08  0.18310547E-05  0.10655090E+00  0.78375750E+01      107008  0.36621094E-05 10
     4  0.80000000E-09  0.24748135E-11  0.95214844E+06  0.27084475E+11  0.18062717E+11 -0.39480724E+10  0.95203077E+07  0.18310547E-05  0.10636047E+00  0.24558090E+20  0.15380859E-03  0.10682373E+00  0.84154636E+05  0.11901855E-02  0.10804321E+00 -0.74895830E+07 -0.10680000E+06  0.10616821E+00  0.10787476E+00  0.95203077E+07  0.18310547E-05  0.10636047E+00  0.10312653E+02      103744  0.36621094E-05 10
     5  0.10000000E-08  0.60476422E-11  0.96134731E+06  0.40198506E+11  0.27352756E+11 -0.49336453E+10  0.91028323E+07  0.36621094E-05  0.10616821E+00  0.24514917E+20  0.15380859E-03  0.10682373E+00  0.77944752E+05  0.11901855E-02  0.10804321E+00 -0.73024075E+07 -0.10680000E+06  0.10596313E+00  0.10799194E+00  0.91028323E+07  0.36621094E-05  0.10616821E+00  0.12156356E+02      101632  0.73242187E-05  9
     6  0.12000000E-08  0.62469877E-11  0.91552734E+06  0.52542420E+11  0.36049648E+11 -0.58680284E+10  0.87644116E+07  0.36621094E-05  0.10598511E+00  0.24472907E+20  0.15380859E-03  0.10682373E+00  0.71057282E+05  0.11901855E-02  0.10804321E+00 -0.68953823E+07 -0.10680000E+06  0.10577271E+00  0.10799194E+00  0.87644116E+07  0.36621094E-05  0.10598511E+00  0.13182484E+02      102976  0.73242187E-05  9
     7  0.14000000E-08  0.64362632E-11  0.87890625E+06  0.63842773E+11  0.44003510E+11 -0.67292415E+10  0.84806147E+07  0.36621094E-05  0.10580933E+00  0.24420964E+20  0.15380859E-03  0.10682373E+00  0.64065255E+05  0.11901855E-02  0.10804321E+00 -0.65719173E+07 -0.10680000E+06  0.10559692E+00  0.10805420E+00  0.84806147E+07  0.36621094E-05  0.10580933E+00  0.14158267E+02      102208  0.73242187E-05  9
     8  0.16000000E-08  0.66139992E-11  0.80566406E+06  0.74118472E+11  0.51243111E+11 -0.75227292E+10  0.82469797E+07  0.36621094E-05  0.10564819E+00  0.24363376E+20  0.15380859E-03  0.10682373E+00  0.57302037E+05  0.11901855E-02  0.10804321E+00 -0.62879679E+07 -0.10680000E+06  0.10542847E+00  0.10805420E+00  0.82469797E+07  0.36621094E-05  0.10564819E+00  0.15104053E+02      101248  0.73242187E-05  9
     9  0.18000000E-08  0.67595860E-11  0.80566406E+06  0.83430333E+11  0.57802837E+11 -0.82615479E+10  0.80515301E+07  0.36621094E-05  0.10548706E+00  0.24303131E+20  0.15380859E-03  0.10682373E+00  0.11843344E+00  0.11645508E-02  0.10771729E+00 -0.61314560E+07 -0.10680000E+06  0.10526733E+00  0.10805420E+00  0.80515301E+07  0.36621094E-05  0.10548706E+00  0.16013659E+02       99520  0.73242187E-05  9
    10  0.20000000E-08  0.68684117E-11  0.76904297E+06  0.91886935E+11  0.63760313E+11 -0.89567599E+10  0.78856620E+07  0.36621094E-05  0.10533325E+00  0.24244356E+20  0.15380859E-03  0.10682373E+00  0.59980154E-01  0.10473633E-02  0.10742432E+00 -0.59982271E+07 -0.10680000E+06  0.10512085E+00  0.10805420E+00  0.78856620E+07  0.36621094E-05  0.10533325E+00  0.16919255E+02       99520  0.73242187E-05  9
    11  0.22000000E-08  0.69662156E-11  0.73242187E+06  0.99602557E+11  0.69200535E+11 -0.96162259E+10  0.77447954E+07  0.36621094E-05  0.10518677E+00  0.24187879E+20  0.15380859E-03  0.10682373E+00  0.13146400E+00  0.10473633E-02  0.10742432E+00 -0.58843865E+07 -0.10680000E+06  0.10497803E+00  0.10806152E+00  0.77447954E+07  0.36621094E-05  0.10518677E+00  0.17820276E+02       98368  0.73242187E-05  9
    12  0.24000000E-08  0.70576019E-11  0.69580078E+06  0.10667094E+12  0.74190884E+11 -0.10245967E+11  0.76232047E+07  0.36621094E-05  0.10504761E+00  0.24131363E+20  0.15380859E-03  0.10682373E+00  0.84548195E-01  0.10473633E-02  0.10742432E+00 -0.57720259E+07 -0.10680000E+06  0.10483154E+00  0.10817139E+00  0.76232047E+07  0.36621094E-05  0.10504761E+00  0.18687402E+02       96448  0.73242187E-05  9
    13  0.26000000E-08  0.71426274E-11  0.69580078E+06  0.11317565E+12  0.78791895E+11 -0.10849935E+11  0.75183727E+07  0.36621094E-05  0.10490845E+00  0.24073728E+20  0.15380859E-03  0.10682373E+00  0.98213553E-01  0.11645508E-02  0.10771729E+00 -0.56638252E+07 -0.10680000E+06  0.10469971E+00  0.10817139E+00  0.75183727E+07  0.36621094E-05  0.10490845E+00  0.19570315E+02       97024  0.73242187E-05  9
    14  0.28000000E-08  0.72447073E-11  0.65917969E+06  0.11918539E+12  0.83053143E+11 -0.11431202E+11  0.74265960E+07  0.36621094E-05  0.10477661E+00  0.24020515E+20  0.15380859E-03  0.10682373E+00  0.13441443E+00  0.10034180E-02  0.10735107E+00 -0.55666336E+07 -0.10680000E+06  0.10456787E+00  0.10817139E+00  0.74265960E+07  0.36621094E-05  0.10477661E+00  0.20390551E+02       96448  0.73242187E-05  9
    15  0.30000000E-08  0.73242150E-11  0.65917969E+06  0.12475769E+12  0.87015546E+11 -0.11992650E+11  0.73469350E+07  0.36621094E-05  0.10464478E+00  0.23966138E+20  0.15380859E-03  0.10682373E+00  0.73047479E-01  0.10034180E-02  0.10735107E+00 -0.54724398E+07 -0.10680000E+06  0.10445068E+00  0.10817139E+00  0.73469350E+07  0.36621094E-05  0.10464478E+00  0.21255158E+02       96256  0.73242187E-05  9
    16  0.32000000E-08  0.74989390E-11  0.62255859E+06  0.12994114E+12  0.90713999E+11 -0.12536339E+11  0.72768740E+07  0.36621094E-05  0.10452026E+00  0.23913874E+20  0.15380859E-03  0.10682373E+00  0.14937917E+00  0.10473633E-02  0.10742432E+00 -0.53851930E+07 -0.10680000E+06  0.10431885E+00  0.10817139E+00  0.72768740E+07  0.36621094E-05  0.10452026E+00  0.22038886E+02       94912  0.73242187E-05  9
    17  0.34000000E-08  0.75730851E-11  0.62255859E+06  0.13477749E+12  0.94178136E+11 -0.13063900E+11  0.72160095E+07  0.36621094E-05  0.10439575E+00  0.23859551E+20  0.15380859E-03  0.10682373E+00  0.89120865E-01  0.10473633E-02  0.10742432E+00 -0.52996663E+07 -0.10680000E+06  0.10420166E+00  0.10828857E+00  0.72160095E+07  0.36621094E-05  0.10439575E+00  0.22889412E+02       94336  0.73242187E-05  9
    18  0.36000000E-08  0.76880639E-11  0.62255859E+06  0.13930380E+12  0.97434290E+11 -0.13576754E+11  0.71609451E+07  0.36621094E-05  0.10427124E+00  0.23806142E+20  0.15380859E-03  0.10682373E+00  0.37685037E-01  0.10473633E-02  0.10742432E+00 -0.52188889E+07 -0.10680000E+06  0.10408447E+00  0.10828857E+00  0.71609451E+07  0.36621094E-05  0.10427124E+00  0.23693951E+02       94720  0.73242187E-05  9
    19  0.38000000E-08  0.77233101E-11  0.58593750E+06  0.14355015E+12  0.10050371E+12 -0.14076079E+11  0.71141540E+07  0.36621094E-05  0.10415405E+00  0.23756672E+20  0.15380859E-03  0.10682373E+00  0.15058716E+00  0.10473633E-02  0.10742432E+00 -0.51413314E+07 -0.10680000E+06  0.10396729E+00  0.10828857E+00  0.71141540E+07  0.36621094E-05  0.10415405E+00  0.24484318E+02       94528  0.73242187E-05  9
    20  0.40000000E-08  0.78976425E-11  0.58593750E+06  0.14754263E+12  0.10340444E+12 -0.14563200E+11  0.70720248E+07  0.36621094E-05  0.10403687E+00  0.23704186E+20  0.15380859E-03  0.10682373E+00  0.11009077E+00  0.10473633E-02  0.10742432E+00 -0.50684176E+07 -0.10680000E+06  0.10385010E+00  0.10828857E+00  0.70720248E+07  0.36621094E-05  0.10403687E+00  0.25301583E+02       93184  0.73242187E-05  9
    21  0.42000000E-08  0.81423950E-11  0.58593750E+06  0.15130449E+12  0.10615286E+12 -0.15038746E+11  0.70349632E+07  0.36621094E-05  0.10391968E+00  0.23653835E+20  0.15380859E-03  0.10682373E+00  0.14802615E+00  0.10034180E-02  0.10735107E+00 -0.49981409E+07 -0.10680000E+06  0.10373291E+00  0.10828857E+00  0.70349632E+07  0.36621094E-05  0.10391968E+00  0.26074641E+02       92224  0.73242187E-05  9
    22  0.44000000E-08  0.81647175E-11  0.56792221E+06  0.15485588E+12  0.10876302E+12 -0.15503410E+11  0.69982005E+07  0.73242187E-05  0.10380615E+00  0.23601124E+20  0.15380859E-03  0.10682373E+00  0.15451660E+03  0.43945312E-04  0.10451660E+00 -0.49301369E+07 -0.10680000E+06  0.10361572E+00  0.10828857E+00  0.69982005E+07  0.73242187E-05  0.10380615E+00  0.26817670E+02       92032  0.73242187E-05  9
    23  0.46000000E-08  0.11010916E-10  0.58593750E+06  0.15821473E+12  0.11124735E+12 -0.15957872E+11  0.69699932E+07  0.73242187E-05  0.10368896E+00  0.23550827E+20  0.15380859E-03  0.10682373E+00  0.24832546E+03  0.10253906E-03  0.10437012E+00 -0.48611953E+07 -0.10680000E+06  0.10351318E+00  0.10840576E+00  0.69699932E+07  0.73242187E-05  0.10368896E+00  0.27540274E+02       91456  0.73242187E-05  9
    24  0.48000000E-08  0.17627314E-10  0.51269531E+06  0.16139460E+12  0.11361511E+12 -0.16402891E+11  0.69587514E+07  0.73242187E-05  0.10358643E+00  0.23499781E+20  0.15380859E-03  0.10682373E+00  0.13947896E+04  0.19042969E-03  0.10428223E+00 -0.47985029E+07 -0.10680000E+06  0.10341064E+00  0.10840576E+00  0.69587514E+07  0.73242187E-05  0.10358643E+00  0.28024438E+02       90496  0.14648437E-04  8
    25  0.50000000E-08  0.17673262E-10  0.51269531E+06  0.16440933E+12  0.11587581E+12 -0.16839107E+11  0.69323597E+07  0.73242187E-05  0.10348389E+00  0.23449794E+20  0.15380859E-03  0.10682373E+00  0.28218048E+04  0.26367188E-03  0.10420898E+00 -0.47345904E+07 -0.10680000E+06  0.10329346E+00  0.10840576E+00  0.69323597E+07  0.73242187E-05  0.10348389E+00  0.28412688E+02       89536  0.14648437E-04  8
    26  0.52000000E-08  0.17718041E-10  0.58593750E+06  0.16727428E+12  0.11803985E+12 -0.17267127E+11  0.69160421E+07  0.73242187E-05  0.10336670E+00  0.23399036E+20  0.15380859E-03  0.10682373E+00  0.59560014E+04  0.24902344E-03  0.10404785E+00 -0.46738809E+07 -0.10680000E+06  0.10319092E+00  0.10840576E+00  0.69160421E+07  0.73242187E-05  0.10336670E+00  0.28845806E+02       91072  0.14648437E-04  8
    27  0.54000000E-08  0.17753710E-10  0.51269531E+06  0.17000120E+12  0.12011535E+12 -0.17687198E+11  0.69005368E+07  0.73242187E-05  0.10326416E+00  0.23347920E+20  0.15380859E-03  0.10682373E+00  0.82139156E+04  0.24902344E-03  0.10404785E+00 -0.46021909E+07 -0.10680000E+06  0.10308838E+00  0.10840576E+00  0.69005368E+07  0.73242187E-05  0.10326416E+00  0.29250764E+02       90688  0.14648437E-04  8
    28  0.56000000E-08  0.17785884E-10  0.51269531E+06  0.17259917E+12  0.12210831E+12 -0.18099875E+11  0.68830943E+07  0.73242187E-05  0.10316162E+00  0.23295425E+20  0.15380859E-03  0.10682373E+00  0.95005604E+04  0.27832031E-03  0.10390137E+00 -0.45488505E+07 -0.10680000E+06  0.10298584E+00  0.10852295E+00  0.68830943E+07  0.73242187E-05  0.10316162E+00  0.29779449E+02       90496  0.14648437E-04  8
    29  0.58000000E-08  0.17811963E-10  0.51269531E+06  0.17507599E+12  0.12402400E+12 -0.18505489E+11  0.68658917E+07  0.73242187E-05  0.10305908E+00  0.23245214E+20  0.15380859E-03  0.10682373E+00  0.11362164E+05  0.30761719E-03  0.10384277E+00 -0.44959150E+07 -0.10680000E+06  0.10288330E+00  0.10852295E+00  0.68658917E+07  0.73242187E-05  0.10305908E+00  0.30200556E+02       89920  0.14648437E-04  8
    30  0.60000000E-08  0.17833534E-10  0.58593750E+06  0.17743974E+12  0.12586785E+12 -0.18904415E+11  0.68536412E+07  0.73242187E-05  0.10294189E+00  0.23195418E+20  0.15380859E-03  0.10682373E+00  0.13493895E+05  0.32226562E-03  0.10374023E+00 -0.44347044E+07 -0.10680000E+06  0.10278076E+00  0.10852295E+00  0.68536412E+07  0.73242187E-05  0.10294189E+00  0.30571208E+02       89728  0.14648437E-04  8
    31  0.62000000E-08  0.17851198E-10  0.51269531E+06  0.17969790E+12  0.12764494E+12 -0.19296955E+11  0.68446120E+07  0.73242187E-05  0.10283936E+00  0.23144578E+20  0.15380859E-03  0.10682373E+00  0.16432206E+05  0.38085938E-03  0.10368164E+00 -0.43914853E+07 -0.10680000E+06  0.10267822E+00  0.10852295E+00  0.68446120E+07  0.73242187E-05  0.10283936E+00  0.30985538E+02       89536  0.14648437E-04  8
