it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.13707257E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.60468750E-01  0.30468750E-01  0.14269051E+06  0.11956787E-02  0.10798645E+00 -0.10239975E+08 -0.13018920E+06  0.12000000E+00  0.00000000E+00  0.10844434E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      140800  0.36621094E-05 10
     1  0.50000000E-09  0.21507918E-11  0.87158203E+06  0.52303493E+11  0.37131668E+11 -0.52304910E+10  0.11660040E+08  0.18310547E-05  0.10636414E+00  0.46908658E+20  0.15380859E-03  0.10682373E+00  0.12795214E+06  0.11956787E-02  0.10798645E+00 -0.91006848E+07 -0.13018920E+06  0.10610229E+00  0.10799194E+00  0.11660040E+08  0.18310547E-05  0.10636414E+00  0.80488740E+01      145408  0.36621094E-05 10
     2  0.10000000E-08  0.24090971E-11  0.15820312E+07  0.16272992E+12  0.11860187E+12 -0.98946273E+10  0.10049303E+08  0.18310547E-05  0.10557312E+00  0.46709269E+20  0.15380859E-03  0.10682373E+00  0.69051742E+05  0.11901855E-02  0.10839478E+00 -0.75697332E+07 -0.13018920E+06  0.10526733E+00  0.10834351E+00  0.10049303E+08  0.18310547E-05  0.10557312E+00  0.15614848E+02      135424  0.36621094E-05 10
     3  0.15000000E-08  0.61624905E-11  0.13586475E+07  0.24699744E+12  0.18055929E+12 -0.13437797E+11  0.92596983E+07  0.36621094E-05  0.10489380E+00  0.46411422E+20  0.15380859E-03  0.10682373E+00  0.76033491E+04  0.11938477E-02  0.10786377E+00 -0.69131032E+07 -0.13018920E+06  0.10459351E+00  0.10840576E+00  0.92596983E+07  0.36621094E-05  0.10489380E+00  0.21143217E+02      122944  0.73242187E-05  9
     4  0.20000000E-08  0.64036305E-11  0.12011719E+07  0.31221746E+12  0.22849534E+12 -0.16522155E+11  0.88233975E+07  0.36621094E-05  0.10429321E+00  0.46142486E+20  0.15380859E-03  0.10682373E+00  0.11117890E+05  0.12084961E-02  0.10790771E+00 -0.64278532E+07 -0.13018920E+06  0.10400024E+00  0.10852295E+00  0.88233975E+07  0.36621094E-05  0.10429321E+00  0.23699839E+02      121600  0.73242187E-05  9
     5  0.25000000E-08  0.65788661E-11  0.10986328E+07  0.36548274E+12  0.26783399E+12 -0.19302170E+11  0.85642939E+07  0.36621094E-05  0.10374390E+00  0.45886836E+20  0.15380859E-03  0.10682373E+00  0.22155162E+05  0.12084961E-02  0.10795166E+00 -0.60527030E+07 -0.13018920E+06  0.10345093E+00  0.10864014E+00  0.85642939E+07  0.36621094E-05  0.10374390E+00  0.26185619E+02      118912  0.73242187E-05  9
     6  0.30000000E-08  0.66984428E-11  0.10546875E+07  0.41086830E+12  0.30162754E+12 -0.21864296E+11  0.84062454E+07  0.36621094E-05  0.10321655E+00  0.45641226E+20  0.15380859E-03  0.10682373E+00  0.39155707E+05  0.12084961E-02  0.10799561E+00 -0.57416040E+07 -0.13018920E+06  0.10293091E+00  0.10875732E+00  0.84062454E+07  0.36621094E-05  0.10321655E+00  0.28567298E+02      118528  0.73242187E-05  9
     7  0.35000000E-08  0.67711572E-11  0.10107422E+07  0.45077899E+12  0.33164752E+12 -0.24263158E+11  0.83168675E+07  0.36621094E-05  0.10271118E+00  0.45398091E+20  0.15380859E-03  0.10682373E+00  0.50818425E+05  0.12084961E-02  0.10799561E+00 -0.54818480E+07 -0.13018920E+06  0.10243286E+00  0.10887451E+00  0.83168675E+07  0.36621094E-05  0.10271118E+00  0.30939209E+02      118144  0.73242187E-05  9
     8  0.40000000E-08  0.68071451E-11  0.98144531E+06  0.48670956E+12  0.35898053E+12 -0.26535561E+11  0.82768105E+07  0.36621094E-05  0.10222046E+00  0.45158996E+20  0.15380859E-03  0.10682373E+00  0.67544515E+05  0.17285156E-02  0.10502930E+00 -0.52573642E+07 -0.13018920E+06  0.10194580E+00  0.10899170E+00  0.82768105E+07  0.36621094E-05  0.10222046E+00  0.33299606E+02      116800  0.73242187E-05  9
     9  0.45000000E-08  0.68175141E-11  0.96679687E+06  0.51966674E+12  0.38435194E+12 -0.28707186E+11  0.82718987E+07  0.36621094E-05  0.10173706E+00  0.44918027E+20  0.15380859E-03  0.10682373E+00  0.89825002E+05  0.17871094E-02  0.10491211E+00 -0.50565037E+07 -0.13018920E+06  0.10145874E+00  0.10899170E+00  0.82718987E+07  0.36621094E-05  0.10173706E+00  0.35631945E+02      116032  0.73242187E-05  9
