it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09 -0.11920929E-06  0.13139770E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.46875000E-03  0.45468750E-01  0.99439064E+05  0.11901855E-02  0.10816040E+00 -0.98160205E+07 -0.12480000E+06  0.12000000E+00  0.00000000E+00  0.10395527E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      118912  0.36621094E-05 10
     1  0.20000000E-09  0.19377481E-11  0.00000000E+00  0.55343731E+09  0.55074050E+09 -0.20841555E+07  0.13109044E+08  0.18310547E-05  0.10679993E+00  0.33212890E+18  0.18310547E-05  0.10679993E+00  0.99438640E+05  0.11901855E-02  0.10816040E+00 -0.98157793E+07 -0.12480000E+06  0.10671936E+00  0.10725769E+00  0.13109044E+08  0.18310547E-05  0.10679993E+00  0.29334178E+01      118912  0.36621094E-05 10
     2  0.40000000E-09  0.21201953E-11  0.10986328E+07  0.20220072E+11  0.13626211E+11 -0.30883398E+10  0.11973012E+08  0.18310547E-05  0.10658020E+00  0.42911992E+20  0.26000977E-03  0.10683472E+00  0.97374596E+05  0.11901855E-02  0.10816040E+00 -0.92085454E+07 -0.12480000E+06  0.10639526E+00  0.10775757E+00  0.11973012E+08  0.18310547E-05  0.10658020E+00  0.61984241E+01      119104  0.36621094E-05 10
     3  0.60000000E-09  0.22754018E-11  0.14465332E+07  0.54468585E+11  0.38511498E+11 -0.54342735E+10  0.10993478E+08  0.18310547E-05  0.10629089E+00  0.41085205E+20  0.15380859E-03  0.10682373E+00  0.90068922E+05  0.11901855E-02  0.10816040E+00 -0.86253236E+07 -0.12480000E+06  0.10603638E+00  0.10799194E+00  0.10993478E+08  0.18310547E-05  0.10629089E+00  0.92855426E+01      112000  0.36621094E-05 10
     4  0.80000000E-09  0.56397311E-11  0.14557173E+07  0.89770679E+11  0.64393216E+11 -0.70747215E+10  0.10359725E+08  0.36621094E-05  0.10599976E+00  0.41041726E+20  0.15380859E-03  0.10682373E+00  0.80110148E+05  0.11901855E-02  0.10816040E+00 -0.79390819E+07 -0.12480000E+06  0.10572144E+00  0.10810913E+00  0.10359725E+08  0.36621094E-05  0.10599976E+00  0.11815814E+02      106240  0.73242187E-05  9
     5  0.10000000E-08  0.58779004E-11  0.13549805E+07  0.12232500E+12  0.88253784E+11 -0.85163022E+10  0.98714417E+07  0.36621094E-05  0.10572876E+00  0.40951298E+20  0.15380859E-03  0.10682373E+00  0.70208267E+05  0.11901855E-02  0.10816040E+00 -0.74338423E+07 -0.12480000E+06  0.10544312E+00  0.10817139E+00  0.98714417E+07  0.36621094E-05  0.10572876E+00  0.12953313E+02      107008  0.73242187E-05  9
     6  0.12000000E-08  0.60434436E-11  0.13183594E+07  0.15158613E+12  0.10964392E+12 -0.98551623E+10  0.94977090E+07  0.36621094E-05  0.10546509E+00  0.40843361E+20  0.15380859E-03  0.10682373E+00  0.16256869E+00  0.10473633E-02  0.10742432E+00 -0.71743373E+07 -0.12480000E+06  0.10517944E+00  0.10817139E+00  0.94977090E+07  0.36621094E-05  0.10546509E+00  0.14070261E+02      107776  0.73242187E-05  9
     7  0.14000000E-08  0.61820926E-11  0.12084961E+07  0.17775252E+12  0.12873355E+12 -0.11108545E+11  0.92081259E+07  0.36621094E-05  0.10522339E+00  0.40742208E+20  0.15380859E-03  0.10682373E+00  0.18691321E+00  0.10473633E-02  0.10742432E+00 -0.69423298E+07 -0.12480000E+06  0.10493774E+00  0.10828857E+00  0.92081259E+07  0.36621094E-05  0.10522339E+00  0.15174077E+02      105856  0.73242187E-05  9
     8  0.16000000E-08  0.63023857E-11  0.11718750E+07  0.20126173E+12  0.14587167E+12 -0.12287090E+11  0.89766472E+07  0.36621094E-05  0.10498901E+00  0.40642885E+20  0.15380859E-03  0.10682373E+00  0.52658717E-01  0.10766602E-02  0.10748291E+00 -0.67365804E+07 -0.12480000E+06  0.10471436E+00  0.10828857E+00  0.89766472E+07  0.36621094E-05  0.10498901E+00  0.16235777E+02      105856  0.73242187E-05  9
     9  0.18000000E-08  0.64055351E-11  0.10986328E+07  0.22253523E+12  0.16138224E+12 -0.13402870E+11  0.87933293E+07  0.36621094E-05  0.10476929E+00  0.40545172E+20  0.15380859E-03  0.10682373E+00  0.14588535E+00  0.10034180E-02  0.10735107E+00 -0.65534758E+07 -0.12480000E+06  0.10449463E+00  0.10840576E+00  0.87933293E+07  0.36621094E-05  0.10476929E+00  0.17346122E+02      104320  0.73242187E-05  9
