it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286607E+09  0.54286607E+09  0.11920929E-06  0.11325229E+08  0.75073242E-04  0.11600281E+00  0.10000000E+12  0.60468750E-01  0.60468750E-01  0.22656972E+06  0.52917480E-03  0.11616028E+00 -0.75266819E+07 -0.21600000E+06  0.12000000E+00  0.00000000E+00  0.34949096E+07  0.10034180E-02  0.11754639E+00  0.00000000E+00       51904  0.36621094E-05 10
     1  0.20000000E-09  0.21668750E-11  0.00000000E+00  0.53866604E+09  0.54299941E+09 -0.14082220E+05  0.11324866E+08  0.75073242E-04  0.11600281E+00  0.31729763E+16  0.18310547E-05  0.11599915E+00  0.22656827E+06  0.52917480E-03  0.11616028E+00 -0.75266780E+07 -0.21600000E+06  0.12000000E+00  0.00000000E+00  0.34949094E+07  0.10034180E-02  0.11754639E+00  0.16076637E+01       51904  0.36621094E-05 10
     2  0.40000000E-09  0.22581415E-11  0.25246320E+07  0.11239268E+10  0.90872811E+09 -0.13176795E+09  0.10092914E+08  0.55297852E-03  0.11616577E+00  0.26331749E+20  0.18310547E-05  0.11599915E+00  0.21563170E+06  0.52917480E-03  0.11616028E+00 -0.75118599E+07 -0.21600000E+06  0.11584351E+00  0.11637085E+00  0.10092914E+08  0.55297852E-03  0.11616577E+00  0.35297638E+01       51520  0.36621094E-05 10
     3  0.60000000E-09  0.24392964E-11  0.34296246E+07  0.68428053E+10  0.45335033E+10 -0.11927538E+10  0.10836971E+08  0.18310547E-05  0.11575745E+00  0.31951690E+20  0.54931641E-05  0.11580139E+00  0.41581154E+05  0.52917480E-03  0.11616028E+00 -0.70993462E+07 -0.21600000E+06  0.11560913E+00  0.11654663E+00  0.10836971E+08  0.18310547E-05  0.11575745E+00  0.54264889E+01       50752  0.36621094E-05 10
     4  0.80000000E-09  0.56563477E-11  0.99796680E+06  0.13916171E+11  0.93886791E+10 -0.20029713E+10  0.10346549E+08  0.36621094E-05  0.11555786E+00  0.29456608E+20  0.36621094E-05  0.11563110E+00  0.26622181E+05  0.98510742E-03  0.11683228E+00 -0.71902974E+07 -0.21600000E+06  0.11538940E+00  0.11666382E+00  0.10346549E+08  0.36621094E-05  0.11555786E+00  0.68761184E+01       49984  0.73242187E-05  9
     5  0.10000000E-08  0.58510906E-11  0.98876953E+06  0.21595757E+11  0.14793369E+11 -0.26542501E+10  0.10108270E+08  0.36621094E-05  0.11536011E+00  0.27494960E+20  0.36621094E-05  0.11543335E+00  0.24580279E+05  0.98510742E-03  0.11683228E+00 -0.68953376E+07 -0.21600000E+06  0.11516968E+00  0.11678101E+00  0.10108270E+08  0.36621094E-05  0.11536011E+00  0.76045408E+01       50752  0.73242187E-05  9
     6  0.12000000E-08  0.59760334E-11  0.10253906E+07  0.29348592E+11  0.20286414E+11 -0.32553994E+10  0.99190226E+07  0.36621094E-05  0.11515503E+00  0.26152713E+20  0.22705078E-03  0.11603760E+00  0.22439194E+05  0.98510742E-03  0.11683228E+00 -0.66667855E+07 -0.21600000E+06  0.11496460E+00  0.11678101E+00  0.99190226E+07  0.36621094E-05  0.11515503E+00  0.83355593E+01       52480  0.73242187E-05  9
     7  0.14000000E-08  0.60917643E-11  0.98876953E+06  0.37022004E+11  0.25748148E+11 -0.38278580E+10  0.97736645E+07  0.36621094E-05  0.11495728E+00  0.26026822E+20  0.22705078E-03  0.11603760E+00  0.18682082E+00  0.78369141E-03  0.11638916E+00 -0.64158412E+07 -0.21600000E+06  0.11475220E+00  0.11684326E+00  0.97736645E+07  0.36621094E-05  0.11495728E+00  0.91166059E+01       51520  0.73242187E-05  9
     8  0.16000000E-08  0.61550314E-11  0.98876953E+06  0.44513145E+11  0.31088233E+11 -0.43798467E+10  0.96721458E+07  0.36621094E-05  0.11475952E+00  0.25896382E+20  0.22705078E-03  0.11603760E+00  0.91133515E-01  0.63720703E-03  0.11624268E+00 -0.61522734E+07 -0.21600000E+06  0.11455444E+00  0.11684326E+00  0.96721458E+07  0.36621094E-05  0.11475952E+00  0.98232459E+01       52480  0.73242187E-05  9
     9  0.18000000E-08  0.61890675E-11  0.98876953E+06  0.51830039E+11  0.36317916E+11 -0.49140303E+10  0.96078529E+07  0.36621094E-05  0.11456177E+00  0.25761942E+20  0.22705078E-03  0.11603760E+00  0.38223392E+04  0.21240234E-03  0.11501221E+00 -0.58964835E+07 -0.21600000E+06  0.11435669E+00  0.11684326E+00  0.96078529E+07  0.36621094E-05  0.11456177E+00  0.10572529E+02       52672  0.73242187E-05  9
    10  0.20000000E-08  0.62050471E-11  0.98876953E+06  0.58990699E+11  0.41450243E+11 -0.54343223E+10  0.95687652E+07  0.36621094E-05  0.11436401E+00  0.25630462E+20  0.22705078E-03  0.11603760E+00  0.12471462E+05  0.33691406E-03  0.11488770E+00 -0.56605052E+07 -0.21600000E+06  0.11415894E+00  0.11684326E+00  0.95687652E+07  0.36621094E-05  0.11436401E+00  0.11339303E+02       52864  0.73242187E-05  9
