it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286607E+09  0.54286607E+09 -0.11920929E-06  0.10947803E+08  0.75073242E-04  0.11600281E+00  0.10000000E+12  0.11296875E+00  0.97968750E-01  0.55218028E+06  0.76354980E-03  0.11635803E+00 -0.72757871E+07 -0.20880000E+06  0.12000000E+00  0.00000000E+00  0.33784113E+07  0.10034180E-02  0.11754639E+00  0.00000000E+00       58048  0.36621094E-05 10
     1  0.20000000E-09  0.22126330E-11  0.00000000E+00  0.53896499E+09  0.54294808E+09 -0.79889750E+04  0.10947639E+08  0.75073242E-04  0.11600281E+00  0.13383450E+16  0.18310547E-05  0.11599915E+00  0.55217978E+06  0.76354980E-03  0.11635803E+00 -0.72757846E+07 -0.20880000E+06  0.12000000E+00  0.00000000E+00  0.33784111E+07  0.10034180E-02  0.11754639E+00  0.15635273E+01       58048  0.36621094E-05 10
     2  0.40000000E-09  0.22372018E-11  0.17186572E+07  0.72120316E+09  0.65755218E+09 -0.43546660E+08  0.10066251E+08  0.40832520E-03  0.11608704E+00  0.11640442E+20  0.18310547E-05  0.11599915E+00  0.55120959E+06  0.76354980E-03  0.11635803E+00 -0.72709784E+07 -0.20880000E+06  0.11586548E+00  0.11633972E+00  0.10066251E+08  0.40832520E-03  0.11608704E+00  0.34251733E+01       57856  0.36621094E-05 10
     3  0.60000000E-09  0.24143609E-11  0.25160850E+07  0.54508729E+10  0.35115259E+10 -0.11174939E+10  0.10362477E+08  0.18310547E-05  0.11579041E+00  0.26864732E+20  0.98876953E-04  0.11601196E+00  0.41560743E+06  0.76354980E-03  0.11635803E+00 -0.69307211E+07 -0.20880000E+06  0.11567505E+00  0.11648804E+00  0.10362477E+08  0.18310547E-05  0.11579041E+00  0.52490984E+01       58240  0.36621094E-05 10
     4  0.80000000E-09  0.24173378E-11  0.84228516E+06  0.10774670E+11  0.71290731E+10 -0.17708265E+10  0.10030816E+08  0.18310547E-05  0.11562195E+00  0.26872410E+20  0.54931641E-05  0.11569153E+00  0.26115711E+05  0.98510742E-03  0.11683228E+00 -0.65425513E+07 -0.20880000E+06  0.11546265E+00  0.11666382E+00  0.10030816E+08  0.18310547E-05  0.11562195E+00  0.70351623E+01       57088  0.36621094E-05 10
     5  0.10000000E-08  0.25294310E-11  0.91552734E+06  0.16653927E+11  0.11215982E+11 -0.23171760E+10  0.98027277E+07  0.18310547E-05  0.11543884E+00  0.24725636E+20  0.18310547E-05  0.11551575E+00  0.25448212E+05  0.76538086E-03  0.11637085E+00 -0.66495091E+07 -0.20880000E+06  0.11527222E+00  0.11672241E+00  0.98027277E+07  0.18310547E-05  0.11543884E+00  0.88254468E+01       57664  0.36621094E-05 10
     6  0.12000000E-08  0.26383431E-11  0.91552734E+06  0.22759260E+11  0.15480065E+11 -0.28574652E+10  0.96326548E+07  0.18310547E-05  0.11525574E+00  0.23449588E+20  0.18310547E-05  0.11533630E+00  0.22618741E+05  0.98510742E-03  0.11683228E+00 -0.64125923E+07 -0.20880000E+06  0.11507446E+00  0.11678101E+00  0.96326548E+07  0.18310547E-05  0.11525574E+00  0.10483378E+02       57280  0.36621094E-05 10
     7  0.14000000E-08  0.61824589E-11  0.90641831E+06  0.28774704E+11  0.19693656E+11 -0.33774735E+10  0.94962120E+07  0.36621094E-05  0.11507446E+00  0.23306560E+20  0.22705078E-03  0.11603760E+00  0.20789050E+05  0.98510742E-03  0.11683228E+00 -0.60638016E+07 -0.20880000E+06  0.11489136E+00  0.11684326E+00  0.94962120E+07  0.36621094E-05  0.11507446E+00  0.11905381E+02       56320  0.73242187E-05  9
     8  0.16000000E-08  0.62650930E-11  0.87890625E+06  0.34634218E+11  0.23811774E+11 -0.38773603E+10  0.93920869E+07  0.36621094E-05  0.11489868E+00  0.23215488E+20  0.22705078E-03  0.11603760E+00  0.21081614E+05  0.91186523E-03  0.11660522E+00 -0.58532380E+07 -0.20880000E+06  0.11470825E+00  0.11684326E+00  0.93920869E+07  0.36621094E-05  0.11489868E+00  0.12599159E+02       54784  0.73242187E-05  9
     9  0.18000000E-08  0.63121318E-11  0.91552734E+06  0.40320129E+11  0.27817837E+11 -0.43586441E+10  0.93221758E+07  0.36621094E-05  0.11471558E+00  0.23121539E+20  0.22705078E-03  0.11603760E+00  0.95353524E-01  0.63720703E-03  0.11624268E+00 -0.56566792E+07 -0.20880000E+06  0.11452515E+00  0.11684326E+00  0.93221758E+07  0.36621094E-05  0.11471558E+00  0.13311193E+02       55360  0.73242187E-05  9
    10  0.20000000E-08  0.63401550E-11  0.87890625E+06  0.45847926E+11  0.31724261E+11 -0.48239732E+10  0.92741949E+07  0.36621094E-05  0.11453979E+00  0.23025170E+20  0.22705078E-03  0.11603760E+00  0.30393206E+04  0.21972656E-03  0.11500488E+00 -0.54706007E+07 -0.20880000E+06  0.11434937E+00  0.11684326E+00  0.92741949E+07  0.36621094E-05  0.11453979E+00  0.13997715E+02       54592  0.73242187E-05  9
    11  0.22000000E-08  0.63554745E-11  0.87890625E+06  0.51245195E+11  0.35552186E+11 -0.52763366E+10  0.92427759E+07  0.36621094E-05  0.11436401E+00  0.22931797E+20  0.22705078E-03  0.11603760E+00  0.86411568E+04  0.30761719E-03  0.11488770E+00 -0.52840708E+07 -0.20880000E+06  0.11416626E+00  0.11684326E+00  0.92427759E+07  0.36621094E-05  0.11436401E+00  0.14731307E+02       56128  0.73242187E-05  9
    12  0.24000000E-08  0.63616559E-11  0.87890625E+06  0.56537635E+11  0.39320152E+11 -0.57181076E+10  0.92256333E+07  0.36621094E-05  0.11418823E+00  0.22841864E+20  0.22705078E-03  0.11603760E+00  0.16298119E+05  0.36621094E-03  0.11477051E+00 -0.51013675E+07 -0.20880000E+06  0.11399048E+00  0.11684326E+00  0.92256333E+07  0.36621094E-05  0.11418823E+00  0.15452251E+02       55744  0.73242187E-05  9
    13  0.26000000E-08  0.63615674E-11  0.87890625E+06  0.61749484E+11  0.43045798E+11 -0.61511837E+10  0.92188101E+07  0.36621094E-05  0.11401245E+00  0.22754601E+20  0.22705078E-03  0.11603760E+00  0.25059809E+05  0.42480469E-03  0.11468262E+00 -0.49292849E+07 -0.20880000E+06  0.11381470E+00  0.11684326E+00  0.92188101E+07  0.36621094E-05  0.11401245E+00  0.16171362E+02       56704  0.73242187E-05  9
    14  0.28000000E-08  0.63574583E-11  0.87890625E+06  0.66902634E+11  0.46745219E+11 -0.65770385E+10  0.92184131E+07  0.36621094E-05  0.11383667E+00  0.22670342E+20  0.22705078E-03  0.11603760E+00  0.34644564E+05  0.47607422E-03  0.11455811E+00 -0.47852699E+07 -0.20880000E+06  0.11363892E+00  0.11684326E+00  0.92184131E+07  0.36621094E-05  0.11383667E+00  0.16913108E+02       56704  0.73242187E-05  9
    15  0.30000000E-08  0.63508952E-11  0.91552734E+06  0.72016846E+11  0.50432977E+11 -0.69969234E+10  0.92287992E+07  0.36621094E-05  0.11365356E+00  0.22589251E+20  0.22705078E-03  0.11603760E+00  0.44203794E+05  0.51269531E-03  0.11444824E+00 -0.46827526E+07 -0.20880000E+06  0.11345581E+00  0.11684326E+00  0.92287992E+07  0.36621094E-05  0.11365356E+00  0.17614106E+02       56896  0.73242187E-05  9
    16  0.32000000E-08  0.63420601E-11  0.87890625E+06  0.77110325E+11  0.54122549E+11 -0.74119077E+10  0.92435188E+07  0.36621094E-05  0.11347778E+00  0.22511653E+20  0.22705078E-03  0.11603760E+00  0.54655091E+05  0.57128906E-03  0.11438965E+00 -0.46301403E+07 -0.20880000E+06  0.11328003E+00  0.11684326E+00  0.92435188E+07  0.36621094E-05  0.11347778E+00  0.18352148E+02       57856  0.73242187E-05  9
    17  0.34000000E-08  0.63324411E-11  0.91552734E+06  0.82199420E+11  0.57826143E+11 -0.78226395E+10  0.92551107E+07  0.36621094E-05  0.11329468E+00  0.22435844E+20  0.22705078E-03  0.11603760E+00  0.64499376E+05  0.60058594E-03  0.11427246E+00 -0.46572933E+07 -0.20880000E+06  0.11309692E+00  0.11684326E+00  0.92551107E+07  0.36621094E-05  0.11329468E+00  0.19061725E+02       58048  0.73242187E-05  9
    18  0.36000000E-08  0.63222973E-11  0.87890625E+06  0.87298582E+11  0.61554576E+11 -0.82297236E+10  0.92771453E+07  0.36621094E-05  0.11311890E+00  0.22361231E+20  0.22705078E-03  0.11603760E+00  0.74386526E+05  0.65917969E-03  0.11421387E+00 -0.46866340E+07 -0.20880000E+06  0.11292114E+00  0.11684326E+00  0.92771453E+07  0.36621094E-05  0.11311890E+00  0.19766136E+02       58432  0.73242187E-05  9
    19  0.38000000E-08  0.63114119E-11  0.91552734E+06  0.92420384E+11  0.65317150E+11 -0.86338178E+10  0.92973506E+07  0.36621094E-05  0.11293579E+00  0.22288492E+20  0.22705078E-03  0.11603760E+00  0.84258028E+05  0.68847656E-03  0.11412598E+00 -0.47153997E+07 -0.20880000E+06  0.11273804E+00  0.11684326E+00  0.92973506E+07  0.36621094E-05  0.11293579E+00  0.20500043E+02       59200  0.73242187E-05  9
    20  0.40000000E-08  0.63005813E-11  0.91552734E+06  0.97575974E+11  0.69122193E+11 -0.90354132E+10  0.93177983E+07  0.36621094E-05  0.11275269E+00  0.22217388E+20  0.22705078E-03  0.11603760E+00  0.92754411E+05  0.71777344E-03  0.11403809E+00 -0.47415154E+07 -0.20880000E+06  0.11255493E+00  0.11684326E+00  0.93177983E+07  0.36621094E-05  0.11275269E+00  0.21217717E+02       59008  0.73242187E-05  9
    21  0.42000000E-08  0.62896132E-11  0.91552734E+06  0.10277486E+12  0.72976746E+11 -0.94350071E+10  0.93400838E+07  0.36621094E-05  0.11256958E+00  0.22147582E+20  0.22705078E-03  0.11603760E+00  0.10200463E+06  0.77636719E-03  0.11403809E+00 -0.47655988E+07 -0.20880000E+06  0.11236450E+00  0.11684326E+00  0.93400838E+07  0.36621094E-05  0.11256958E+00  0.21965786E+02       59392  0.73242187E-05  9
    22  0.44000000E-08  0.62782447E-11  0.91552734E+06  0.10802588E+12  0.76887333E+11 -0.98330111E+10  0.93598980E+07  0.36621094E-05  0.11238647E+00  0.22078823E+20  0.22705078E-03  0.11603760E+00  0.10986082E+06  0.77636719E-03  0.11389160E+00 -0.47874928E+07 -0.20880000E+06  0.11218140E+00  0.11684326E+00  0.93598980E+07  0.36621094E-05  0.11238647E+00  0.22710012E+02       59776  0.73242187E-05  9
    23  0.46000000E-08  0.62672311E-11  0.95214844E+06  0.11333690E+12  0.80859936E+11 -0.10229604E+11  0.93847552E+07  0.36621094E-05  0.11219604E+00  0.22010821E+20  0.22705078E-03  0.11603760E+00  0.11921361E+06  0.83496094E-03  0.11389160E+00 -0.48075107E+07 -0.20880000E+06  0.11199097E+00  0.11684326E+00  0.93847552E+07  0.36621094E-05  0.11219604E+00  0.23456289E+02       59392  0.73242187E-05  9
    24  0.48000000E-08  0.62562704E-11  0.95214844E+06  0.11871483E+12  0.84899716E+11 -0.10625064E+11  0.94043889E+07  0.36621094E-05  0.11200562E+00  0.21943447E+20  0.22705078E-03  0.11603760E+00  0.12455396E+06  0.84960937E-03  0.11381836E+00 -0.48257885E+07 -0.20880000E+06  0.11180054E+00  0.11684326E+00  0.94043889E+07  0.36621094E-05  0.11200562E+00  0.24233426E+02       59392  0.73242187E-05  9
    25  0.50000000E-08  0.62448121E-11  0.91552734E+06  0.12416594E+12  0.89011472E+11 -0.11019598E+11  0.94277497E+07  0.36621094E-05  0.11182251E+00  0.21876558E+20  0.22705078E-03  0.11603760E+00  0.13292564E+06  0.90820312E-03  0.11381836E+00 -0.48431263E+07 -0.20880000E+06  0.11161011E+00  0.11684326E+00  0.94277497E+07  0.36621094E-05  0.11182251E+00  0.24958599E+02       59968  0.73242187E-05  9
    26  0.52000000E-08  0.62369980E-11  0.98876953E+06  0.12969576E+12  0.93199437E+11 -0.11413386E+11  0.94517419E+07  0.36621094E-05  0.11162476E+00  0.21808060E+20  0.22705078E-03  0.11603760E+00  0.13906999E+06  0.90820312E-03  0.11375977E+00 -0.48601267E+07 -0.20880000E+06  0.11141968E+00  0.11696045E+00  0.94517419E+07  0.36621094E-05  0.11162476E+00  0.25721768E+02       60928  0.73242187E-05  9
    27  0.54000000E-08  0.62259818E-11  0.95214844E+06  0.13530956E+12  0.97467529E+11 -0.11806784E+11  0.94789844E+07  0.36621094E-05  0.11143433E+00  0.21926515E+20  0.36621094E-05  0.11152954E+00  0.14541379E+06  0.95214844E-03  0.11374512E+00 -0.48764959E+07 -0.20880000E+06  0.11122925E+00  0.11696045E+00  0.94789844E+07  0.36621094E-05  0.11143433E+00  0.26449396E+02       60736  0.73242187E-05  9
    28  0.56000000E-08  0.62151340E-11  0.95214844E+06  0.14101203E+12  0.10181939E+12 -0.12199964E+11  0.95006883E+07  0.36621094E-05  0.11124390E+00  0.22130781E+20  0.36621094E-05  0.11133179E+00  0.15323785E+06  0.95214844E-03  0.11365723E+00 -0.48927362E+07 -0.20880000E+06  0.11103149E+00  0.11696045E+00  0.95006883E+07  0.36621094E-05  0.11124390E+00  0.27221899E+02       60736  0.73242187E-05  9
    29  0.58000000E-08  0.62038378E-11  0.98876953E+06  0.14680793E+12  0.10625879E+12 -0.12593004E+11  0.95274264E+07  0.36621094E-05  0.11104614E+00  0.22307337E+20  0.36621094E-05  0.11113403E+00  0.15898860E+06  0.98144531E-03  0.11365723E+00 -0.49087135E+07 -0.20880000E+06  0.11083374E+00  0.11696045E+00  0.95274264E+07  0.36621094E-05  0.11104614E+00  0.27996069E+02       61696  0.73242187E-05  9
    30  0.60000000E-08  0.61927183E-11  0.98876953E+06  0.15270135E+12  0.11078897E+12 -0.12986005E+11  0.95514771E+07  0.36621094E-05  0.11084839E+00  0.22500741E+20  0.36621094E-05  0.11094360E+00  0.16175167E+06  0.10253906E-02  0.11364258E+00 -0.49250164E+07 -0.20880000E+06  0.11063599E+00  0.11696045E+00  0.95514771E+07  0.36621094E-05  0.11084839E+00  0.28737349E+02       62080  0.73242187E-05  9
    31  0.62000000E-08  0.61815474E-11  0.98876953E+06  0.15869657E+12  0.11541337E+12 -0.13379067E+11  0.95749950E+07  0.36621094E-05  0.11065063E+00  0.22696228E+20  0.36621094E-05  0.11073853E+00  0.16866095E+06  0.10253906E-02  0.11358398E+00 -0.49416118E+07 -0.20880000E+06  0.11043823E+00  0.11696045E+00  0.95749950E+07  0.36621094E-05  0.11065063E+00  0.29513524E+02       62080  0.73242187E-05  9
    32  0.64000000E-08  0.61706809E-11  0.10253906E+07  0.16479746E+12  0.12013518E+12 -0.13772298E+11  0.95972158E+07  0.36621094E-05  0.11044556E+00  0.22910571E+20  0.36621094E-05  0.11054077E+00  0.17336222E+06  0.10253906E-02  0.11352539E+00 -0.49580041E+07 -0.20880000E+06  0.11023315E+00  0.11696045E+00  0.95972158E+07  0.36621094E-05  0.11044556E+00  0.30262890E+02       61312  0.73242187E-05  9
    33  0.66000000E-08  0.61598523E-11  0.98876953E+06  0.17100811E+12  0.12495768E+12 -0.14165799E+11  0.96236849E+07  0.36621094E-05  0.11024780E+00  0.23092239E+20  0.36621094E-05  0.11034302E+00  0.17816018E+06  0.10839844E-02  0.11352539E+00 -0.49743420E+07 -0.20880000E+06  0.11002808E+00  0.11696045E+00  0.96236849E+07  0.36621094E-05  0.11024780E+00  0.31077859E+02       62080  0.73242187E-05  9
    34  0.68000000E-08  0.27141890E-11  0.10345864E+07  0.17733687E+12  0.12988726E+12 -0.14559699E+11  0.96450912E+07  0.18310547E-05  0.11004089E+00  0.23297304E+20  0.18310547E-05  0.11013611E+00  0.18638212E+06  0.10839844E-02  0.11346680E+00 -0.49891420E+07 -0.20880000E+06  0.10982300E+00  0.11696045E+00  0.96450912E+07  0.18310547E-05  0.11004089E+00  0.32621075E+02       63424  0.36621094E-05 10
    35  0.70000000E-08  0.26499004E-11  0.10253906E+07  0.18377912E+12  0.13492071E+12 -0.14954043E+11  0.96719494E+07  0.18310547E-05  0.10983582E+00  0.23524263E+20  0.18310547E-05  0.10993103E+00  0.19157409E+06  0.10839844E-02  0.11340820E+00 -0.50046030E+07 -0.20880000E+06  0.10961792E+00  0.11696045E+00  0.96719494E+07  0.18310547E-05  0.10983582E+00  0.34291493E+02       64768  0.36621094E-05 10
    36  0.72000000E-08  0.26449567E-11  0.10437012E+07  0.19033724E+12  0.14006040E+12 -0.15348918E+11  0.97004560E+07  0.18310547E-05  0.10962708E+00  0.23774291E+20  0.18310547E-05  0.10972229E+00  0.19523655E+06  0.10839844E-02  0.11340820E+00 -0.50199935E+07 -0.20880000E+06  0.10940552E+00  0.11696045E+00  0.97004560E+07  0.18310547E-05  0.10962708E+00  0.36042457E+02       64576  0.36621094E-05 10
    37  0.74000000E-08  0.25943160E-11  0.10437012E+07  0.19701656E+12  0.14531054E+12 -0.15744454E+11  0.97308077E+07  0.18310547E-05  0.10941833E+00  0.24025186E+20  0.36621094E-05  0.10951538E+00  0.20012554E+06  0.11425781E-02  0.11340820E+00 -0.50349427E+07 -0.20880000E+06  0.10919312E+00  0.11696045E+00  0.97308077E+07  0.18310547E-05  0.10941833E+00  0.37824694E+02       66304  0.36621094E-05 10
    38  0.76000000E-08  0.25888621E-11  0.10620117E+07  0.20382226E+12  0.15067560E+12 -0.16140515E+11  0.97628539E+07  0.18310547E-05  0.10920593E+00  0.24322200E+20  0.18310547E-05  0.10930115E+00  0.20747090E+06  0.11425781E-02  0.11334961E+00 -0.50495365E+07 -0.20880000E+06  0.10898071E+00  0.11696777E+00  0.97628539E+07  0.18310547E-05  0.10920593E+00  0.39619368E+02       67840  0.36621094E-05 10
