it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.19764145E+12  0.19764145E+12  0.00000000E+00  0.22000000E+07  0.79101562E-03  0.11534180E+00  0.50000000E+20  0.29296875E-04  0.11663086E+00  0.44703484E-05  0.10839844E-02  0.11815430E+00 -0.34769376E-05  0.26400000E+06  0.11622070E+00  0.11956055E+00  0.22000000E+07  0.79101562E-03  0.11534180E+00  0.00000000E+00       20800  0.58593750E-04  6
     1  0.20000000E-09  0.15126632E-10  0.57821912E+07  0.19491100E+12  0.19770017E+12  0.11788130E+10  0.68133993E+07  0.65917969E-04  0.11624268E+00  0.49832886E+20  0.14648437E-04  0.11664551E+00  0.35720275E+07  0.65185547E-03  0.11659424E+00 -0.92630699E+02  0.26400000E+06  0.11619873E+00  0.11956055E+00  0.68133993E+07  0.65917969E-04  0.11624268E+00  0.24513172E+00       24448  0.14648437E-04  8
     2  0.40000000E-09  0.62083441E-11  0.93365836E+05  0.19327329E+12  0.19775587E+12  0.21485283E+10  0.92082913E+07  0.84228516E-04  0.11624634E+00  0.49724059E+20  0.73242187E-05  0.11665283E+00  0.54801238E+07  0.64819336E-03  0.11659058E+00 -0.00000000E+00  0.26400000E+06  0.11622437E+00  0.11956055E+00  0.92082913E+07  0.84228516E-04  0.11624634E+00  0.76412794E+00       31552  0.73242187E-05  9
     3  0.60000000E-09  0.23168167E-11  0.17610520E+06  0.19208530E+12  0.19776230E+12  0.29060242E+10  0.10994906E+08  0.49438477E-04  0.11624084E+00  0.49597105E+20  0.33691406E-03  0.11682129E+00  0.66999507E+07  0.64819336E-03  0.11659790E+00 -0.14991922E+04  0.26400000E+06  0.11616760E+00  0.11956055E+00  0.10994906E+08  0.49438477E-04  0.11624084E+00  0.20611838E+01       41728  0.36621094E-05 10
     4  0.80000000E-09  0.22122587E-11  0.32394664E+06  0.19158465E+12  0.19814122E+12  0.34722573E+10  0.12155517E+08  0.18310547E-05  0.11619690E+00  0.49452568E+20  0.24902344E-03  0.11696777E+00  0.74792140E+07  0.64636230E-03  0.11659607E+00 -0.13782728E+06  0.26400000E+06  0.11608337E+00  0.11956055E+00  0.12155517E+08  0.18310547E-05  0.11619690E+00  0.40153382E+01       49408  0.36621094E-05 10
     5  0.10000000E-08  0.20946647E-11  0.49438477E+06  0.19281858E+12  0.19976964E+12  0.38853949E+10  0.13666037E+08  0.18310547E-05  0.11609802E+00  0.58240743E+20  0.18310547E-05  0.11616760E+00  0.78039914E+07  0.70678711E-03  0.11670776E+00 -0.33146816E+06  0.26400000E+06  0.11595154E+00  0.11956055E+00  0.13666037E+08  0.18310547E-05  0.11609802E+00  0.62613686E+01       54016  0.36621094E-05 10
     6  0.12000000E-08  0.75193686E-12  0.76447904E+06  0.19626253E+12  0.20306823E+12  0.41960498E+10  0.15152790E+08  0.91552734E-06  0.11594513E+00  0.96275895E+20  0.18310547E-05  0.11601746E+00  0.76458376E+07  0.70678711E-03  0.11670776E+00 -0.56995246E+06  0.26400000E+06  0.11577209E+00  0.11956055E+00  0.15152790E+08  0.91552734E-06  0.11594513E+00  0.10621145E+02       59776  0.18310547E-05 11
     7  0.14000000E-08  0.70645696E-12  0.99792480E+06  0.20184227E+12  0.20800865E+12  0.44486944E+10  0.16578422E+08  0.91552734E-06  0.11574554E+00  0.13466822E+21  0.18310547E-05  0.11582336E+00  0.79088608E+07  0.42297363E-03  0.11603210E+00 -0.59651171E+06  0.26400000E+06  0.11555969E+00  0.11956055E+00  0.16578422E+08  0.91552734E-06  0.11574554E+00  0.17328344E+02       65536  0.18310547E-05 11
     8  0.16000000E-08  0.67508174E-12  0.11993408E+07  0.20946900E+12  0.21457266E+12  0.46785007E+10  0.17534931E+08  0.91552734E-06  0.11550568E+00  0.16319278E+21  0.18310547E-05  0.11559265E+00  0.87152310E+07  0.25085449E-03  0.11562927E+00 -0.60040234E+06  0.26400000E+06  0.11530884E+00  0.11956055E+00  0.17534931E+08  0.91552734E-06  0.11550568E+00  0.24798285E+02       70336  0.18310547E-05 11
     9  0.18000000E-08  0.66473500E-12  0.13549805E+07  0.21920463E+12  0.22282841E+12  0.49049049E+10  0.17662109E+08  0.91552734E-06  0.11523468E+00  0.17026630E+21  0.36621094E-05  0.11539673E+00  0.99200012E+07  0.28472900E-03  0.11539398E+00 -0.60039334E+06  0.26400000E+06  0.11502869E+00  0.11956055E+00  0.17662109E+08  0.91552734E-06  0.11523468E+00  0.32760526E+02       75904  0.18310547E-05 11
    10  0.20000000E-08  0.67077965E-12  0.14282227E+07  0.23108327E+12  0.23281188E+12  0.51406621E+10  0.17180105E+08  0.91552734E-06  0.11494904E+00  0.16959740E+21  0.73242187E-05  0.11539307E+00  0.10364451E+08  0.33508301E-03  0.11515320E+00 -0.60142492E+06  0.26400000E+06  0.11473206E+00  0.11956055E+00  0.17180105E+08  0.91552734E-06  0.11494904E+00  0.41473550E+02       80704  0.18310547E-05 11
    11  0.22000000E-08  0.68398170E-12  0.14648438E+07  0.24483679E+12  0.24430301E+12  0.53930609E+10  0.16512547E+08  0.91552734E-06  0.11465607E+00  0.16852818E+21  0.14648437E-04  0.11538574E+00  0.10298116E+08  0.38635254E-03  0.11490417E+00 -0.63273402E+06  0.26400000E+06  0.11442993E+00  0.11956055E+00  0.16512547E+08  0.91552734E-06  0.11465607E+00  0.50282695E+02       82240  0.18310547E-05 11
    12  0.24000000E-08  0.69808606E-12  0.14556885E+07  0.26005566E+12  0.25696762E+12  0.56658974E+10  0.15910288E+08  0.91552734E-06  0.11436493E+00  0.16810695E+21  0.14648437E-04  0.11538574E+00  0.10018366E+08  0.43395996E-03  0.11464783E+00 -0.66549861E+06  0.26400000E+06  0.11412964E+00  0.11956055E+00  0.15910288E+08  0.91552734E-06  0.11436493E+00  0.58598563E+02       86272  0.18310547E-05 11
    13  0.26000000E-08  0.71040423E-12  0.14648437E+07  0.27642960E+12  0.27055679E+12  0.59604690E+10  0.15437059E+08  0.91552734E-06  0.11407196E+00  0.16770173E+21  0.14648437E-04  0.11538574E+00  0.96981890E+07  0.47790527E-03  0.11438782E+00 -0.68342478E+06  0.26400000E+06  0.11382202E+00  0.11956055E+00  0.15437059E+08  0.91552734E-06  0.11407196E+00  0.67419231E+02       90496  0.18310547E-05 11
    14  0.28000000E-08  0.72051007E-12  0.14648438E+07  0.29381526E+12  0.28495945E+12  0.62767490E+10  0.15088325E+08  0.91552734E-06  0.11377899E+00  0.16730359E+21  0.14648437E-04  0.11538574E+00  0.94082542E+07  0.51086426E-03  0.11411682E+00 -0.69515187E+06  0.26400000E+06  0.11352173E+00  0.11956055E+00  0.15088325E+08  0.91552734E-06  0.11377899E+00  0.76088360E+02       91648  0.18310547E-05 11
    15  0.30000000E-08  0.73094233E-12  0.14648437E+07  0.31220626E+12  0.30017487E+12  0.66138807E+10  0.14840991E+08  0.91552734E-06  0.11348602E+00  0.16690710E+21  0.14648437E-04  0.11538574E+00  0.91710487E+07  0.54382324E-03  0.11384583E+00 -0.70490849E+06  0.26400000E+06  0.11322144E+00  0.11956055E+00  0.14840991E+08  0.91552734E-06  0.11348602E+00  0.84602143E+02       91456  0.18310547E-05 11
    16  0.32000000E-08  0.74176965E-12  0.14923096E+07  0.33166899E+12  0.31625977E+12  0.69705780E+10  0.14670880E+08  0.91552734E-06  0.11318756E+00  0.16650846E+21  0.14648437E-04  0.11538574E+00  0.89837830E+07  0.56579590E-03  0.11355652E+00 -0.72028886E+06  0.26400000E+06  0.11291565E+00  0.11956055E+00  0.14670880E+08  0.91552734E-06  0.11318756E+00  0.92861538E+02       88960  0.18310547E-05 11
