BOLSIG+ script file: bolsig_to_coefficients_air.txt
READCOLLISIONS
N2
cross_section_air_phelps.txt
C1    N2    Effective (momentum)                                
C2    N2    Excitation    0.020 eV                              
C3    N2    Excitation    0.29 eV                               
C4    N2    Excitation    0.29 eV                               
C5    N2    Excitation    0.59 eV                               
C6    N2    Excitation    0.88 eV                               
C7    N2    Excitation    1.17 eV                               
C8    N2    Excitation    1.47 eV                               
C9    N2    Excitation    1.76 eV                               
C10   N2    Excitation    2.06 eV                               
C11   N2    Excitation    2.35 eV                               
C12   N2    Excitation    6.17 eV                               
C13   N2    Excitation    7.00 eV                               
C14   N2    Excitation    7.35 eV                               
C15   N2    Excitation    7.36 eV                               
C16   N2    Excitation    7.80 eV                               
C17   N2    Excitation    8.16 eV                               
C18   N2    Excitation    8.40 eV                               
C19   N2    Excitation    8.55 eV                               
C20   N2    Excitation    8.89 eV                               
C21   N2    Excitation    11.03 eV                              
C22   N2    Excitation    11.87 eV                              
C23   N2    Excitation    12.25 eV                              
C24   N2    Excitation    13.00 eV                              
C25   N2    Ionization    15.60 eV                              
C26   N2    Ionization    18.80 eV                              
READCOLLISIONS
O2
cross_section_air_phelps.txt
C27   O2    Attachment                                          
C28   O2    Attachment                                          
C29   O2    Effective (momentum)                                
C30   O2    Excitation    0.020 eV                              
C31   O2    Excitation    0.19 eV                               
C32   O2    Excitation    0.19 eV                               
C33   O2    Excitation    0.38 eV                               
C34   O2    Excitation    0.38 eV                               
C35   O2    Excitation    0.57 eV                               
C36   O2    Excitation    0.75 eV                               
C37   O2    Excitation    0.98 eV                               
C38   O2    Excitation    1.63 eV                               
C39   O2    Excitation    4.50 eV                               
C40   O2    Excitation    6.00 eV                               
C41   O2    Excitation    8.40 eV                               
C42   O2    Excitation    9.97 eV                               
C43   O2    Ionization    12.06 eV                              
RUN
R1    1000. Td    16.6 eV                                       
CLEARRUNS
RUNSERIES
R1    1.00 Td    0.235 eV                                       
R2    1.04 Td    0.239 eV                                       
R3    1.07 Td    0.243 eV                                       
R4    1.11 Td    0.247 eV                                       
R5    1.15 Td    0.252 eV                                       
R6    1.19 Td    0.256 eV                                       
R7    1.23 Td    0.261 eV                                       
R8    1.28 Td    0.266 eV                                       
R9    1.32 Td    0.272 eV                                       
R10   1.37 Td    0.278 eV                                       
R11   1.41 Td    0.284 eV                                       
R12   1.46 Td    0.290 eV                                       
R13   1.52 Td    0.296 eV                                       
R14   1.57 Td    0.303 eV                                       
R15   1.63 Td    0.311 eV                                       
R16   1.68 Td    0.319 eV                                       
R17   1.74 Td    0.327 eV                                       
R18   1.80 Td    0.336 eV                                       
R19   1.87 Td    0.345 eV                                       
R20   1.93 Td    0.355 eV                                       
R21   2.00 Td    0.365 eV                                       
R22   2.07 Td    0.375 eV                                       
R23   2.15 Td    0.387 eV                                       
R24   2.22 Td    0.398 eV                                       
R25   2.30 Td    0.411 eV                                       
R26   2.38 Td    0.423 eV                                       
R27   2.47 Td    0.436 eV                                       
R28   2.55 Td    0.450 eV                                       
R29   2.64 Td    0.464 eV                                       
R30   2.74 Td    0.478 eV                                       
R31   2.83 Td    0.493 eV                                       
R32   2.93 Td    0.508 eV                                       
R33   3.04 Td    0.523 eV                                       
R34   3.14 Td    0.539 eV                                       
R35   3.26 Td    0.554 eV                                       
R36   3.37 Td    0.570 eV                                       
R37   3.49 Td    0.585 eV                                       
R38   3.61 Td    0.601 eV                                       
R39   3.74 Td    0.617 eV                                       
R40   3.87 Td    0.632 eV                                       
R41   4.01 Td    0.648 eV                                       
R42   4.15 Td    0.663 eV                                       
R43   4.30 Td    0.678 eV                                       
R44   4.45 Td    0.692 eV                                       
R45   4.61 Td    0.707 eV                                       
R46   4.77 Td    0.721 eV                                       
R47   4.94 Td    0.735 eV                                       
R48   5.11 Td    0.748 eV                                       
R49   5.29 Td    0.762 eV                                       
R50   5.48 Td    0.774 eV                                       
R51   5.67 Td    0.787 eV                                       
R52   5.87 Td    0.799 eV                                       
R53   6.08 Td    0.811 eV                                       
R54   6.29 Td    0.822 eV                                       
R55   6.52 Td    0.833 eV                                       
R56   6.75 Td    0.843 eV                                       
R57   6.99 Td    0.854 eV                                       
R58   7.23 Td    0.864 eV                                       
