reaction,rate,unit,reference,DOI,comment
N2*(B) + N2*(B) -> e + N4+, 2.00e-10, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(a) + N2*(A1) -> e + N4+, 5.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(a) + N2*(A2) -> e + N4+, 5.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(a) + N2*(a) -> e + N4+, 2.00e-10, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N(^2D) + O(^3P) -> e + NO+, 1.00e-12, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O(^3P) + O2 -> O2- + O(^3P), 1.00e-31, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O(^3P) + O2 -> O- + O2, 1.00e-31, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O3 -> O2- + O(^3P), 1.00e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O3 -> O- + O2, 1.00e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + M -> e + O2 + M, 1.24e-11*exp(-(179/(8.8+Td))**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201,
O- + N2 -> e + N2O, 1.16e-12*exp(-(48.9/(11+Td))**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201,
O- + O2 -> e + O3, 5.00e-15, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + O2*(a) -> e + O3, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + O2*(b) -> e + O2 + O(^3P), 6.90e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
