reaction,rate,unit,reference,DOI,comment
N2+ + e -> N(^4S) + N(^4S), 1.80e-7*(300/Te)**0.39, cm, \cite{Mehr:1969}, https://doi.org/10.1103/PhysRev.181.264,
O2+ + e -> O(^3P) + O(^3P), 2.40e-7*(300/Te)**0.7, cm, \cite{Peverall:2001}, https://doi.org/10.1063/1.1349079,
N4+ + e -> 2N2, 2.00e-6*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + e -> 2O2, 1.40e-6*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2O2+ + e -> N2 + O2, 1.30e-6*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + e -> N2, 4.00e-12, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
O2+ + e -> O2, 4.00e-12, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
N2+ + O- -> N2 + O(^3P), 4.00e-7, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
N2+ + O2- -> N2 + O2, 1.60e-7, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
O2+ + O- -> O2 + O(^3P), 9.60e-8, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
O2+ + O2- -> 2O2, 4.20e-7, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336,
O2- + O2 -> 2O2 + e, 2.70e-10*(Tg/300)**0.5*exp(-5590/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + N2 -> O2 + N2 + e, 1.90e-12*(Tg/300)**0.5*exp(-4990/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + O2 -> O2- + O(^3P), 6.96e-11*exp(-(198/(5.6+Td))**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201, 
O- + O2 + M -> O3- + M, 1.10e-30*exp(-(Td/65)**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201, 
N4+ + N2 -> N2+ + 2N2, 10**(-14.6+0.0036*(Tg-300)), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011, 
