reaction,rate,unit,reference,DOI,comment
# These are the reactions for dry air (N2:O2=4:1) from:
# Ono and Komuro 2020 (https://doi.org/10.1088/1361-6463/ab4e65)
# 24 April 2022 (Baohong): included negative ion conversion and amended some rate constants
#
# Charged particle reactions
N2+ + e \to N(^4S) + N(^4S), 1.80\times10^{-7}(\frac{300}{T_e})^{0.39}, cm, \cite{Mehr:1969}, https://doi.org/10.1103/PhysRev.181.264
O2+ + e \to O(^3P) + O(^3P), 2.40\times10^{-7}(\frac{300}{T_e})^{0.7}, cm, \cite{Peverall:2001}, https://doi.org/10.1063/1.1349079
N4+ + e \to 2N2, 2.00\times10^{-6}(\frac{300}{T_e})^{0.5}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + e \to 2O2, 1.40\times10^{-6}(\frac{300}{T_e})^{0.5}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
N2O2+ + e \to N2 + O2, 1.30\times10^{-6}(\frac{300}{T_e})^{0.5}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
N2+ + e \to N2, 4.00\times10^{-12}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
O2+ + e \to O2, 4.00\times10^{-12}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
N2+ + O- \to N2 + O(^3P), 4.00\times10^{-7}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
N2+ + O2- \to N2 + O2, 1.60\times10^{-7}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
O2+ + O- \to O2 + O(^3P), 9.60\times10^{-8}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
O2+ + O2- \to 2O2, 4.20\times10^{-7}, cm, \cite{Eichwald:1997}, https://doi.org/10.1063/1.366336
O2- + O2 \to 2O2 + e, 2.70\times10^{-10}(\frac{T_g}{300})^{0.5}\exp(\frac{-5590}{T_g}), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O2- + N2 \to O2 + N2 + e, 1.90\times10^{-12}(\frac{T_g}{300})^{0.5}\exp(\frac{-4990}{T_g}), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O- + O2 \to O2- + O(^3P), 6.96\times10^{-11}\exp(-(198/(5.6+T_d))**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201, # Added negative ion conversion
O- + O2 + M \to O3- + M, 1.10\times10^{-30}\exp(-(T_d/65)**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201, # Added negative ion conversion
N4+ + N2 \to N2+ + 2N2, 10**(-14.6+0.0036*(Tg-300)), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011, # Changed reaction format
N4+ + O2 \to O2+ + 2N2, 2.50\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + N2 \to N2O2+ + O2, 4.61\times10^{-12}(\frac{T_g}{300})^{2.5}\exp(\frac{-2650}{T_g}), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O2 \to O2+ + 2O2, 3.30\times10^{-6}(\frac{300}{T_g})^{4}\exp(\frac{-5030}{T_g}), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O2(a) \to O2+ + 2O2, 1.00\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O2(b) \to O2+ + 2O2, 1.00\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O(^3P) \to O2+ + O3, 3.00\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O(^1D) \to O2+ + O3, 3.00\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O4+ + O(^1S) \to O2+ + O3, 3.00\times10^{-10}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
N2O2+ + N2 \to O2+ + 2N2, 1.10\times10^{-6}(\frac{T_g}{300})^{-5.3}\exp(\frac{-2357}{T_g}), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
N2O2+ + O2 \to O4+ + N2, 1.00\times10^{-9}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
N2+ + N2 + M \to N4+ + M, 5.20\times10^{-29}(\frac{300}{T_g})^{2.2}, cm, \cite{Guthrie:1991}, https://doi.org/10.1063/1.461101
O2+ + O2 + M \to O4+ + M, 2.40\times10^{-30}(\frac{300}{T_g})^{3.2}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011, # Changed O2 in the left side to M
O2+ + N2 + N2 \to N2O2+ + N2, 9.00\times10^{-31}(\frac{300}{T_g})^{2.0}, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011
O2- + O2+ + O2 \to 2O(^3P) + 2O2, 2.00\times10^{-25}(\frac{300}{T_g})^{2.5}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
O2- + O4+ + O2 \to 2O(^3P) + 3O2, 2.00\times10^{-25}(\frac{300}{T_g})^{2.5}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
# Neutral particle reactions
N2(A1) + O2 \to N2 + O(^3P) + O(^3P), 1.70\times10^{-12}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
N2(A1) + O2 \to N2 + O2(b), 7.50\times10^{-13}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
N2(A1) + N2(A1) \to N2 + N2(E), 1.00\times10^{-11}, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305
N2(A1) + N2(A1) \to N2 + N2(B), 7.70\times10^{-11}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
N2(A1) + N2(A1) \to N2 + N2(C), 1.60\times10^{-10}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
N2(A1) + O(^3P) \to N2 + O(^1S), 3.00\times10^{-11}, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201
N2(A1) + O(^3P) \to NO + N(^2D), 7.00\times10^{-12}, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305
