# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from Itikawa (N2, O2, NO), Phelps (3-body attachment O2), and Song et al. (N2O, NO, NO2).
# Chemical reactions from Kossyi 1992

reaction_list
-----------------------
##### Ionization #####
e + O2 -> e + e + O2+,field_table,C13 O2 Ionization 12.07 eV
e + O2 -> e + e + O + O+,field_table,C14 O2 Ionization 23.00 eV
e + O2 -> e + e + e + O + O++,field_table,C15 O2 Ionization 73.00 eV
e + N2 -> e + e + N2+,field_table,C31 N2 Ionization 15.58 eV
e + N2 -> e + e + N + N+,field_table,C32 N2 Ionization 30.00 eV
e + N2 -> e + e + e + N + N++,field_table,C33 N2 Ionization 70.00 eV
e + NO -> e + e + e + NO++,field_table,C42 NO Ionization 40.00 eV
e + NO -> e + e + N + O+,field_table,C40 NO Ionization 20.10 eV
e + NO -> e + e + O + N+,field_table,C41 NO Ionization 21.60 eV
e + NO -> e + e + NO+,field_table,C39 NO Ionization 9.26 eV
e + NO2 -> e + e + NO + O+,field_table,C46 NO2 Ionization 20.00 eV
e + NO2 -> e + e + NO2+,field_table,C45 NO2 Ionization 9.59 eV
e + NO2 -> e + e + O2 + N+,field_table,C47 NO2 Ionization 30.00 eV
e + NO2 -> e + e + O + NO+,field_table,C48 NO2 Ionization 13.50 eV
e + N2O -> e + e + N2 + O+,field_table,C55 N2O Ionization 20.00 eV
e + N2O -> e + e + N2O+,field_table,C54 N2O Ionization 12.89 eV
e + N2O -> e + e + N + NO+,field_table,C57 N2O Ionization 18.00 eV
e + N2O -> e + e + NO + N+,field_table,C56 N2O Ionization 22.50 eV
e + N2O -> e + e + O + N2+,field_table,C58 N2O Ionization 20.00 eV
##### Attachment #####
e + O2 + O2 -> O2 + O2-,field_table,C16 O2 Attachment
e + O2 -> O + O-,field_table,C1 O2 Attachment
e + NO -> N + O-,field_table,C34 NO Attachment
e + NO2 -> NO + O-,field_table,C43 NO2 Attachment
e + N2O -> N2 + O-,field_table,C49 N2O Attachment
#### Dissociation ####
e + O2 -> e + O + O,field_table,C12 O2 Excitation 5.10 eV
e + N2 -> e + N + N,field_table,C30 N2 Excitation 9.75 eV
#### Attachment ####
e + N2O + N2 -> N2O- + N2,k3_func,4.72 0.412 1.268 1e-31,cm
e + NO2 -> NO2-,k2_func,3e-11,cm
e + NO + N2 -> NO- + N2,k2_func,1e-30,cm
e + NO + O2 -> NO- + O2,k2_func,1e-30,cm
e + O3 -> O- + O2,k2_func,1e-11,cm
e + O3 -> O2- + O,k2_func,1e-9,cm
e + O + O2 -> O- + O2,k2_func,1e-31,cm
e + O + O2 -> O + O2-,k2_func,1e-31,cm
#### Detachment ####
NO2- + O -> NO3 + e,k2_func,1e-12,cm
O- + NO -> NO2 + e,k2_func,2.6e-10,cm
O- + N -> NO + e,k2_func,2.6e-10,cm
O- + O2 -> O3 + e,k2_func,5e-15,cm
O- + O -> O2 + e,k2_func,5e-10,cm
O2- + N2 -> O2 + N2 + e,k4_func,1.9e-12 0.5 4990,cm
O2- + N -> NO2 + e,k2_func,5e-10,cm
O2- + O2 -> O2 + O2 + e,k4_func,2.7e-10 0.5 5590,cm
O2- + O -> O3 + e,k2_func,1.5e-10,cm
O3- + O -> O2 + O2 + e,k2_func,3e-10,cm
#### Electron Ion Recombination ####
e + N+ + N2 -> N + N2,k1_func,6e-27 1.5,cm
e + N+ + O2 -> N + O2,k1_func,6e-27 1.5,cm
e + N2+ -> N + N,k1_func,2.8e-7 0.5,cm
e + N2+ + N2 -> N2 + N2,k1_func,6e-27 1.5,cm
e + N2+ + O2 -> N2 + O2,k1_func,6e-27 1.5,cm
e + N2O+ -> N2 + O,k1_func,2e-7 0.5,cm
e + N3+ -> N2 + N,k1_func,2e-7 0.5,cm
e + N4+ -> N2 + N2,k1_func,2e-6 0.5,cm
e + NO+N2 -> NO + N2,k1_func,1.3e-6 0.5,cm
e + NO+NO -> NO + NO,k1_func,1.3e-6 0.5,cm
e + NO+O2 -> NO + O2,k1_func,1.3e-6 0.5,cm
e + NO+ -> N + O,k1_func,4e-7 0.5,cm
e + NO+ + N2 -> NO + N2,k1_func,6e-27 1.5,cm
e + NO+ + O2 -> NO + O2,k1_func,6e-27 1.5,cm
e + NO2+ -> NO + O,k1_func,2e-7 0.5,cm
e + O+ + N2 -> O + N2,k1_func,6e-27 1.5,cm
e + O+ + O2 -> O + O2,k1_func,6e-27 1.5,cm
e + O2+N2 -> O2 + N2,k1_func,1.3e-6 0.5,cm
e + O2+ -> O + O,k1_func,2e-7 0.5,cm
e + O2+ + N2 -> O2 + N2,k1_func,6e-27 1.5,cm
e + O2+ + O2 -> O2 + O2,k1_func,6e-27 1.5,cm
e + O4+ -> O2 + O2,k1_func,1.4e-6 0.5,cm
e + e + N+ -> e + N,k1_func,1e-19 4.5,cm
e + e + N2+ -> e + N2,k1_func,1e-19 4.5,cm
e + e + NO+ -> e + NO,k1_func,1e-19 4.5,cm
e + e + O+ -> e + O,k1_func,1e-19 4.5,cm
e + e + O2+ -> e + O2,k1_func,1e-19 4.5,cm
#### Negative Ion Conversion ####
NO- + N2O -> NO2- + N2,k2_func,2.8e-14,cm
NO- + NO2 -> NO2- + NO,k2_func,7.4e-16,cm
NO- + O2 -> O2- + NO,k2_func,5e-10,cm
NO2- + N2O5 -> NO3- + NO3 + NO,k2_func,7e-10,cm
NO2- + NO2 -> NO3- + NO,k2_func,4e-12,cm
NO2- + NO3 -> NO2 + NO3-,k2_func,5e-10,cm
NO2- + O3 -> NO3- + O2,k2_func,1.8e-11,cm
NO3- + NO -> NO2- + NO2,k2_func,3e-15,cm
O- + N2O -> N2O- + O,k2_func,2e-12,cm
O- + N2O -> NO- + NO,k2_func,2e-10,cm
O- + NO2 -> NO2- + O,k2_func,1.2e-9,cm
O- + NO + N2 -> NO2- + N2,k2_func,1e-29,cm
O- + NO + O2 -> NO2- + O2,k2_func,1e-29,cm
O- + O2 + N2 -> O3- + N2,k8_func,1.1e-30 1,cm
O- + O2 + O2 -> O3- + O2,k8_func,1.1e-30 1,cm
O- + O3 -> O + O3-,k2_func,5.3e-10,cm
O2- + N2O -> O3- + N2,k2_func,1e-12,cm
O2- + NO2 -> NO2- + O2,k2_func,8e-10,cm
O2- + NO3 -> O2 + NO3-,k2_func,5e-10,cm
O2- + O2 + N2 -> O4- + N2,k8_func,3.5e-31 1,cm
O2- + O2 + O2 -> O4- + O2,k8_func,3.5e-31 1,cm
O2- + O3 -> O2 + O3-,k2_func,4e-10,cm
O2- + O -> O2 + O-,k2_func,3.3e-10,cm
O3- + NO2 -> O2 + NO3-,k2_func,2e-11,cm
