BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction CO2                          1.000    
          R#      A1         A16         A17    
           1   1.000       0.000       200.0    
           2   1.035       3.000      0.6211    
           3   1.072       3.000      0.6211    
           4   1.110       3.000      0.6211    
           5   1.149       3.000      0.6211    
           6   1.190       3.000      0.6211    
           7   1.232       3.000      0.6211    
           8   1.275       3.000      0.6211    
           9   1.320       3.000      0.6211    
          10   1.367       3.000      0.6211    
          11   1.415       3.000      0.6211    
          12   1.465       3.000      0.6211    
          13   1.517       3.000      0.6211    
          14   1.570       3.000      0.6211    
          15   1.626       3.000      0.6211    
          16   1.683       3.000      0.6211    
          17   1.743       3.000      0.6211    
          18   1.804       3.000      0.6211    
          19   1.868       3.000      0.6211    
          20   1.934       3.000      0.6211    
          21   2.002       3.000      0.6211    
          22   2.073       3.000      0.6211    
          23   2.146       3.000      0.6211    
          24   2.222       3.000      0.6211    
          25   2.300       3.000      0.6211    
          26   2.382       3.000      0.6211    
          27   2.466       3.000      0.6211    
          28   2.553       3.000      0.7398    
          29   2.643       3.000      0.7398    
          30   2.736       3.000      0.7398    
          31   2.833       3.000      0.7398    
          32   2.933       3.000      0.7398    
          33   3.037       3.000      0.7398    
          34   3.144       3.000      0.7398    
          35   3.255       3.000      0.7398    
          36   3.370       3.000      0.7398    
          37   3.489       3.000      0.8811    
          38   3.612       3.000      0.8811    
          39   3.740       3.000      0.8811    
          40   3.872       3.000      0.8811    
          41   4.009       3.000      0.8811    
          42   4.150       3.000       1.049    
