BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
           1   1.000       0.000       200.0    
           2   1.007       3.000       2.044    
           3   1.014       3.000       2.044    
           4   1.021       3.000       2.044    
           5   1.028       3.000       2.044    
           6   1.035       3.000       2.044    
           7   1.042       3.000       2.044    
           8   1.050       3.000       2.044    
           9   1.057       3.000       2.044    
          10   1.064       3.000       2.044    
          11   1.072       3.000       2.044    
          12   1.079       3.000       2.044    
          13   1.087       3.000       2.044    
          14   1.094       3.000       2.044    
          15   1.102       3.000       2.044    
          16   1.109       3.000       2.044    
          17   1.117       3.000       2.044    
          18   1.125       3.000       2.044    
          19   1.133       3.000       2.044    
          20   1.140       3.000       2.044    
          21   1.148       3.000       2.044    
          22   1.156       3.000       2.044    
          23   1.164       3.000       2.044    
          24   1.172       3.000       2.044    
          25   1.181       3.000       2.044    
          26   1.189       3.000       2.044    
          27   1.197       3.000       2.044    
          28   1.205       3.000       2.044    
          29   1.214       3.000       2.044    
          30   1.222       3.000       2.044    
          31   1.231       3.000       2.044    
          32   1.239       3.000       2.044    
          33   1.248       3.000       2.044    
          34   1.256       3.000       2.044    
          35   1.265       3.000       2.044    
          36   1.274       3.000       2.044    
          37   1.283       3.000       2.044    
          38   1.292       3.000       2.044    
          39   1.301       3.000       2.044    
          40   1.310       3.000       2.044    
          41   1.319       3.000       2.044    
          42   1.328       3.000       2.044    
