reaction,rate
# Charged particle reactions
# Electron detachment
O2- + N2 \to e + N2 + O2,1.90\times10^{-12}(\frac{T_g}{300})^{0.5}\exp(\frac{-4990}{T_g})
O2- + O2 \to e + O2 + O2,2.70\times10^{-10}(\frac{T_g}{300})^{0.5}\exp(\frac{-5590}{T_g})
O2- + O2(a) \to e + 2O2,2.00\times10^{-10}
O2- + O(3P) \to e + O3,3.00\times10^{-10}
O2- + H \to e + HO2,1.20\times10^{-9}
O- + O2(a) \to e + O3,3.00\times10^{-10}
O- + O(3P) \to e + O2,2.00\times10^{-10}
H- + O2 \to e + HO2,1.20\times10^{-9}
H- + H \to e + H2,2.00\times10^{-9}
OH- + O(3P) \to e + HO2,2.00\times10^{-10}
OH- + H \to e + H2O,1.40\times10^{-9}
# Negative ion conversion
O2- + H \to OH- + O(3P),1.50\times10^{-9}
H- + H2O \to OH- + H2,1.00\times10^{-9}
# Positive ion conversion
N2+ + N2 + M \to N4+ + M,5.20\times10^{-29}(\frac{300}{T_g})^{2.2}
O2+ + N2 + N2 \to N2O2+ + N2,9.00\times10^{-31}(\frac{300}{T_g})^{2} 
O2+ + O2 + M \to O4+ + M,2.40\times10^{-30}(\frac{300}{T_g})^{3.2}
O2+ + H2O + M \to H2O3+ + M,2.60\times10^{-28}(\frac{300}{T_g})^{4}
N4+ + N2 \to N2+ + 2N2,10**(-14.6+0.0036(T_g-300))
N4+ + O2 \to O2+ + 2N2,2.50\times10^{-10}
O4+ + N2 \to N2O2+ + O2,4.60\times10^{-12}(\frac{T_g}{300})^{2.5}\exp(\frac{-2650}{T_g})
O4+ + O2 \to O2+ + 2O2,3.30\times10^{-6}(\frac{300}{T_g})^{4}\exp(\frac{-5030}{T_g})
O4+ + O2(a) \to O2+ + 2O2,1.00\times10^{-10}
O4+ + O2(b) \to O2+ + 2O2,1.00\times10^{-10}
O4+ + O(3P) \to O2+ + O3,3.00\times10^{-10}
O4+ + O(1D) \to O2+ + O3,3.00\times10^{-10}
O4+ + O(1S) \to O2+ + O3,3.00\times10^{-10}
O4+ + H2O \to H2O3+ + O2,1.70\times10^{-9}
H2O3+ + H2O \to H3O+ + OH + O2,1.30\times10^{-9}
N2O2+ + N2 \to O2+ + 2N2,1.10\times10^{-6}(\frac{300}{T_g})^{5.3}\exp(\frac{-2357}{T_g}) 
N2O2+ + O2 \to O4+ + N2,1.00\times10^{-9}
H3O+ + H2O + M \to H5O2+ + M,3.40\times10^{-27}(\frac{300}{T_g})^{4}
H5O2+ + H2O + M \to H7O3+ + M,2.30\times10^{-27}(\frac{300}{T_g})^{4}
H7O3+ + H2O + M \to H9O4+ + M,2.40\times10^{-27}(\frac{300}{T_g})^{4}
# Electron-ion recombination
e + N2+ \to N(4S) + N(4S),1.80\times10^{-7}(\frac{300}{T_e})^{0.39}
e + N2+ \to N2,4.00\times10^{-12}
e + N4+ \to N2 + N2,2.00\times10^{-6}(\frac{300}{T_e})^{0.5}
e + O2+ \to O(3P) + O(3P),2.00\times10^{-7}(\frac{300}{T_e})^{0.7}
e + O2+ \to O2,4.00\times10^{-12}
e + O4+ \to O2 + O2,1.40\times10^{-6}(\frac{300}{T_e})^{0.5}
e + N2O2+ \to N2 + O2,1.30\times10^{-6}(\frac{300}{T_e})^{0.5}
e + H2O+ \to OH + H,3.80\times10^{-7}
e + H2O+ \to H2 + O(3P),1.40\times10^{-7}
e + H2O+ \to 2H + O(3P),1.70\times10^{-7}
e + H9O4+ \to H + 4H2O,5.50\times10^{-7}(\frac{300}{T_e})^{0.78} 
# Ion-ion recombination 
N2+ + O- \to N2 + O(3P),4.00\times10^{-7}
N2+ + O2- \to N2 + O2,1.60\times10^{-7}
O2+ + O- \to O2 + O(3P),9.60\times10^{-8}
O2+ + O2- \to O2 + O2,4.20\times10^{-7}
O2+ + O2- + O2 \to 2O(3P) + 2O2,2.00\times10^{-25}(\frac{300}{T_g})^{2.5}
O4+ + O2- + O2 \to 2O(3P) + 3O2,2.00\times10^{-25}(\frac{300}{T_g})^{2.5}
H2O+ + O- \to H2O + O(3P),4.00\times10^{-7}
H2O+ + O2- \to H2O + O2,4.00\times10^{-7}
# Neutral particle reactions
# Neutral species conversion
N2(A1) + O2 \to N2 + O2(b),7.50\times10^{-13}
N2(A1) + O2 \to N2 + 2O(3P),1.70\times10^{-12}
N2(A1) + O2 \to N2O + O(3P),7.80\times10^{-12}
N2(A1) + N2(A1) \to N2 + N2(B),7.70\times10^{-11}
N2(A1) + N2(A1) \to N2 + N2(C),1.60\times10^{-10}
