reaction,rate
O2- + N2 -> e + N2 + O2,1.90e-12*(Tg/300)**0.5*exp(-4990/Tg)
O2- + O2 -> e + O2 + O2,2.70e-10*(Tg/300)**0.5*exp(-5590/Tg)
O2- + O2(a) -> e + 2O2,2.00e-10
O2- + O(3P) -> e + O3,3.00e-10
O2- + H -> e + HO2,1.20e-9
O- + O2(a) -> e + O3,3.00e-10
O- + O(3P) -> e + O2,2.00e-10
H- + O2 -> e + HO2,1.20e-9
H- + H -> e + H2,2.00e-9
OH- + O(3P) -> e + HO2,2.00e-10
OH- + H -> e + H2O,1.40e-9
O2- + H -> OH- + O(3P),1.50e-9
H- + H2O -> OH- + H2,1.00e-9
N2+ + N2 + M -> N4+ + M,5.20e-29*(300/Tg)**2.2
O2+ + N2 + N2 -> N2O2+ + N2,9.00e-31*(300/Tg)**2 
O2+ + O2 + M -> O4+ + M,2.40e-30*(300/Tg)**3.2
O2+ + H2O + M -> H2O3+ + M,2.60e-28*(300/Tg)**4
N4+ + N2 -> N2+ + 2N2,10**(-14.6+0.0036*(Tg-300))
N4+ + O2 -> O2+ + 2N2,2.50e-10
O4+ + N2 -> N2O2+ + O2,4.60e-12*(Tg/300)**2.5*exp(-2650/Tg)
O4+ + O2 -> O2+ + 2O2,3.30e-6*(300/Tg)**4*exp(-5030/Tg)
O4+ + O2(a) -> O2+ + 2O2,1.00e-10
O4+ + O2(b) -> O2+ + 2O2,1.00e-10
O4+ + O(3P) -> O2+ + O3,3.00e-10
O4+ + O(1D) -> O2+ + O3,3.00e-10
O4+ + O(1S) -> O2+ + O3,3.00e-10
O4+ + H2O -> H2O3+ + O2,1.70e-9
H2O3+ + H2O -> H3O+ + OH + O2,1.30e-9
N2O2+ + N2 -> O2+ + 2N2,1.10e-6*(300/Tg)**5.3*exp(-2357/Tg) 
N2O2+ + O2 -> O4+ + N2,1.00e-9
H3O+ + H2O + M -> H5O2+ + M,3.40e-27*(300/Tg)**4
H5O2+ + H2O + M -> H7O3+ + M,2.30e-27*(300/Tg)**4
H7O3+ + H2O + M -> H9O4+ + M,2.40e-27*(300/Tg)**4
e + N2+ -> N(4S) + N(4S),1.80e-7*(300/Te)**0.39
e + N2+ -> N2,4.00e-12
e + N4+ -> N2 + N2,2.00e-6*(300/Te)**0.5
e + O2+ -> O(3P) + O(3P),2.00e-7*(300/Te)**0.7
e + O2+ -> O2,4.00e-12
e + O4+ -> O2 + O2,1.40e-6*(300/Te)**0.5
e + N2O2+ -> N2 + O2,1.30e-6*(300/Te)**0.5
e + H2O+ -> OH + H,3.80e-7
e + H2O+ -> H2 + O(3P),1.40e-7
e + H2O+ -> 2H + O(3P),1.70e-7
e + H9O4+ -> H + 4H2O,5.50e-7*(300/Te)**0.78 
N2+ + O- -> N2 + O(3P),4.00e-7
N2+ + O2- -> N2 + O2,1.60e-7
O2+ + O- -> O2 + O(3P),9.60e-8
O2+ + O2- -> O2 + O2,4.20e-7
O2+ + O2- + O2 -> 2O(3P) + 2O2,2.00e-25*(300/Tg)**2.5
O4+ + O2- + O2 -> 2O(3P) + 3O2,2.00e-25*(300/Tg)**2.5
H2O+ + O- -> H2O + O(3P),4.00e-7
H2O+ + O2- -> H2O + O2,4.00e-7
N2(A1) + O2 -> N2 + O2(b),7.50e-13
N2(A1) + O2 -> N2 + 2O(3P),1.70e-12
N2(A1) + O2 -> N2O + O(3P),7.80e-12
N2(A1) + N2(A1) -> N2 + N2(B),7.70e-11
N2(A1) + N2(A1) -> N2 + N2(C),1.60e-10
N2(A1) + N2(A1) -> N2 + N2(E),1.00e-11
N2(A1) + O(3P) -> N2 + O(3P),2.00e-11
N2(A1) + O(3P) -> N2 + O(1S),3.00e-11
N2(A1) + O(3P) -> NO + N(2D),7.00e-12
N2(A1) + H -> N2 + H,2.10e-10
N2(A1) + OH -> N2 + OH,1.00e-10
N2(A1) + H2O -> N2 + H + OH,5.00e-14
N2(A1) + NO -> N2 + NO(A),6.90e-11
N2(A2) + N2 -> N2 + N2(A1),1.00e-11
N2(A2) + O(3P) -> N2 + O(3P),2.00e-11
N2(A2) + O(3P) -> NO + N(4S),7.00e-12
N2(A2) + H -> N2 + H,2.10e-10
N2(A2) + OH -> N2 + OH,1.00e-10
N2(A2) + H2O -> N2 + H + OH,5.00e-14
N2(A2) + NO -> N2 + NO(A),6.90e-11
N2(B) + O2 -> N2 + 2O(3P),3.00e-10
N2(B) + N2 -> N2 + N2(A1),1.00e-11
N2(B) -> N2(A1),1.50e5
N2(a) + O2 -> N2 + O(3P) + O(1D),2.80e-11
N2(a) + N2 -> N2 + N2,2.00e-13
N2(a) + N2 -> N2 + N2(B),2.00e-13
N2(a) + H2O -> N2 + H + OH,3.00e-10
N2(a) + H2 -> N2 + 2H,2.60e-10
N2(a) + NO -> N2 + N(4S) + O(3P),3.60e-10
N2(C) + O2 -> N2 + 2O(3P),2.50e-10
N2(C) + N2 -> N2 + N2(B),1.00e-11
N2(C) + N2 -> N2 + N2(a),1.00e-11
N2(C) -> N2(B),2.80e7
N2(E) + N2 -> N2 + N2(C),1.00e-10
NO(A) -> NO,5.10e6
N(4S) + O2 -> NO + O(3P),4.47e-12*(Tg/300)**1*exp(-3270.2/Tg)
N(4S) + O(3P) + N2 -> N2 + NO,6.89e-33*exp(134.7/Tg)
N(4S) + N(4S) + N2 -> N2 + N2,8.27e-34*exp(500/Tg)
N(4S) + OH -> NO + H,3.80e-11*exp(85.39/Tg)
N(4S) + HO2 -> NO + OH,2.19e-11
N(4S) + NO -> N2 + O(3P),3.51e-11*exp(-49.84/Tg)
N(4S) + NO2 -> NO + NO,2.30e-12
N(4S) + NO2 -> N2O + O(3P),5.80e-12*exp(-220/Tg)
N(2D) + O2 -> NO + O(3P),1.50e-12*(Tg/300)**0.5
N(2D) + O2 -> NO + O(1D),9.70e-12*exp(185/Tg)
N(2D) + N2 -> N2 + N(4S),1.70e-14
N(2D) + O(3P) -> N(4S) + O(3P),3.30e-12*exp(260/Tg)
N(2D) + H2O -> NH + OH,4.00e-11
N(2D) + NO -> N2 + O(3P),1.80e-10
O2(a) + O2 -> O2 + O2,2.20e-18*(Tg/300)**0.8
O2(a) + N2 -> N2 + O2,1.40e-19
O2(a) + O(3P) -> O2 + O(3P),7.00e-16
O2(a) + N(4S) -> NO + O(3P),2.00e-14
O2(a) + NO -> O2 + NO,2.50e-11
O2(a) + NO -> NO2 + O(3P),3.49e-17
O2(b) + O2 -> O2 + O2(a),4.10e-17
O2(b) + N2 -> N2 + O2(a),2.10e-15
O2(b) + O(3P) -> O2 + O(3P),8.00e-14
O2(b) + H2O -> O2 + H2O,4.60e-12
O2(b) + NO -> O2(a) + NO,4.00e-14
O2(b) + O3 -> 2O2(a) + O(3P),1.80e-11
O2(A) + O2 -> O2(b) + O2(b),2.90e-13
O2(A) + N2 -> N2 + O2(b),3.00e-13
O2(A) + O(3P) -> O2(b) + O(1D),9.00e-12
