reaction,rate
# Charged particle reactions
# Electron detachment
O2- + N2 \to e + N2 + O2,1.9\times10^{-12}(\frac{T_g}{300})^{0.5}\exp(\frac{-4990}{T_g})
O2- + O2 \to e + O2 + O2,2.7\times10^{-10}(\frac{T_g}{300})^{0.5}\exp(\frac{-5590}{T_g})
O2- + O2(a) \to e + 2O2,2.0\times10^{-10}
O2- + O(3P) \to e + O3,3.0\times10^{-10}
O2- + H \to e + HO2,1.2\times10^{-9}
O- + O2(a) \to e + O3,3.0\times10^{-10}
O- + O(3P) \to e + O2,2.0\times10^{-10}
H- + O2 \to e + HO2,1.2\times10^{-9}
H- + H \to e + H2,2.0\times10^{-9}
OH- + O(3P) \to e + HO2,2.0\times10^{-10}
OH- + H \to e + H2O,1.4\times10^{-9}
# Electron-ion recombination
e + N2+ \to N(4S) + N(4S),1.8\times10^{-7}(\frac{300}{T_e})^{0.39}
e + N2+ \to N2,4.0\times10^{-12}
e + N4+ \to N2 + N2,2.0\times10^{-6}(\frac{300}{T_e})^{0.5}
e + O2+ \to O(3P) + O(3P),2.0\times10^{-7}(\frac{300}{T_e})^{0.7}
e + O2+ \to O2,4.0\times10^{-12}
e + O4+ \to O2 + O2,1.4\times10^{-6}(\frac{300}{T_e})^{0.5}
e + N2O2+ \to N2 + O2,1.3\times10^{-6}(\frac{300}{T_e})^{0.5}
e + H2O+ \to OH + H,3.8\times10^{-7}
e + H2O+ \to H2 + O(3P),1.4\times10^{-7}
e + H2O+ \to 2H + O(3P),1.7\times10^{-7}
e + H3O+(H2O)3 \to H + 4H2O,5.5\times10^{-7}(\frac{300}{T_e})^{0.78} 
# Ion-ion recombination 
N2+ + O- \to N2 + O(3P),4.0\times10^{-7}
N2+ + O2- \to N2 + O2,1.6\times10^{-7}
O2+ + O- \to O2 + O(3P),9.6\times10^{-8}
O2+ + O2- \to O2 + O2,4.2\times10^{-7}
O2+ + O2- + O2 \to 2O(3P) + 2O2,2.0\times10^{-25}(\frac{300}{T_g})^{2.5}
O4+ + O2- + O2 \to 2O(3P) + 3O2,2.0\times10^{-25}(\frac{300}{T_g})^{2.5}
H2O+ + O- \to H2O + O(3P),4.0\times10^{-6}
H2O+ + O2- \to H2O + O2,4.0\times10^{-6}
# Positive ion conversion
N2+ + N2 + M \to N4+ + M,5.2\times10^{-29}(\frac{300}{T_g})^{2.2}
O2+ + N2 + N2 \to N2O2+ + N2,9.0\times10^{-31}(\frac{300}{T_g})^{2} 
O2+ + O2 + M \to O4+ + M,2.4\times10^{-30}(\frac{300}{T_g})^{3.2}
O2+ + H2O + M \to O2+(H2O) + M,2.6\times10^{-28}(\frac{300}{T_g})^{4}
N4+ + N2 \to N2+ + 2N2,10**(-14.6+0.0036*(T_g-300))
N4+ + O2 \to O2+ + 2N2,2.5\times10^{-10}
O4+ + N2 \to N2O2+ + O2,4.6\times10^{-12}(\frac{T_g}{300})^{2.5}\exp(\frac{-2650}{T_g})
O4+ + O2 \to O2+ + 2O2,3.3\times10^{-6}(\frac{300}{T_g})^{4}\exp(\frac{-5030}{T_g})
O4+ + O2(a) \to O2+ + 2O2,1.0\times10^{-10}
O4+ + O2(b) \to O2+ + 2O2,1.0\times10^{-10}
O4+ + O(3P) \to O2+ + O3,3.0\times10^{-10}
O4+ + O(1D) \to O2+ + O3,3.0\times10^{-10}
O4+ + O(1S) \to O2+ + O3,3.0\times10^{-10}
O4+ + H2O \to O2+(H2O) + O2,1.7\times10^{-9}
O2+(H2O) + H2O \to H3O+ + OH + O2,1.3\times10^{-9}
N2O2+ + N2 \to O2+ + 2N2,1.1\times10^{-6}(\frac{300}{T_g})^{5.3}\exp(\frac{-2357}{T_g}) 
N2O2+ + O2 \to O4+ + N2,1.0\times10^{-9}
H3O+ + H2O + M \to H3O+(H2O) + M,3.4\times10^{-27}(\frac{300}{T_g})^{4}
H3O+(H2O) + H2O + M \to H3O+(H2O)2 + M,2.3\times10^{-27}(\frac{300}{T_g})^{4}
H3O+(H2O)2 + H2O + M \to H3O+(H2O)3 + M,2.4\times10^{-27}(\frac{300}{T_g})^{4}
# Negative ion conversion
O2- + H \to OH- + O(3P),1.5\times10^{-9}
H- + H2O \to OH- + H2,1.0\times10^{-9}
