reaction,rate
O2- + N2 -> e + N2 + O2,1.9e-12*(Tg/300)**0.5*exp(-4990/Tg)
O2- + O2 -> e + O2 + O2,2.7e-10*(Tg/300)**0.5*exp(-5590/Tg)
O2- + O2*(a) -> e + 2O2,2.0e-10
O2- + O(3P) -> e + O3,3.0e-10
O2- + H -> e + HO2,1.2e-9
O- + O2*(a) -> e + O3,3.0e-10
O- + O(3P) -> e + O2,2.0e-10
H- + O2 -> e + HO2,1.2e-9
H- + H -> e + H2,2.0e-9
OH- + O(3P) -> e + HO2,2.0e-10
OH- + H -> e + H2O,1.4e-9
e + N2+ -> N(4S) + N(4S),1.8e-7*(300/Te)**0.39
e + N2+ -> N2,4.0e-12
e + N4+ -> N2 + N2,2.0e-6*(300/Te)**0.5
e + O2+ -> O(3P) + O(3P),2.0e-7*(300/Te)**0.7
e + O2+ -> O2,4.0e-12
e + O4+ -> O2 + O2,1.4e-6*(300/Te)**0.5
e + N2O2+ -> N2 + O2,1.3e-6*(300/Te)**0.5
e + H2O+ -> OH + H,3.8e-7
e + H2O+ -> H2 + O(3P),1.4e-7
e + H2O+ -> 2H + O(3P),1.7e-7
e + H3O+(H2O)3 -> H + 4H2O,5.5e-7*(300/Te)**0.78 
N2+ + O- -> N2 + O(3P),4.0e-7
N2+ + O2- -> N2 + O2,1.6e-7
O2+ + O- -> O2 + O(3P),9.6e-8
O2+ + O2- -> O2 + O2,4.2e-7
O2+ + O2- + O2 -> 2O(3P) + 2O2,2.0e-25*(300/Tg)**2.5
O4+ + O2- + O2 -> 2O(3P) + 3O2,2.0e-25*(300/Tg)**2.5
H2O+ + O- -> H2O + O(3P),4.0e-6
H2O+ + O2- -> H2O + O2,4.0e-6
N2+ + N2 + M -> N4+ + M,5.2e-29*(300/Tg)**2.2
O2+ + N2 + N2 -> N2O2+ + N2,9.0e-31*(300/Tg)**2 
O2+ + O2 + M -> O4+ + M,2.4e-30*(300/Tg)**3.2
O2+ + H2O + M -> O2+(H2O) + M,2.6e-28*(300/Tg)**4
N4+ + N2 -> N2+ + 2N2,10**(-14.6+0.0036*(Tg-300))
N4+ + O2 -> O2+ + 2N2,2.5e-10
O4+ + N2 -> N2O2+ + O2,4.6e-12*(Tg/300)**2.5*exp(-2650/Tg)
O4+ + O2 -> O2+ + 2O2,3.3e-6*(300/Tg)**4*exp(-5030/Tg)
O4+ + O2*(a) -> O2+ + 2O2,1.0e-10
O4+ + O2*(b) -> O2+ + 2O2,1.0e-10
O4+ + O(3P) -> O2+ + O3,3.0e-10
O4+ + O(1D) -> O2+ + O3,3.0e-10
O4+ + O(1S) -> O2+ + O3,3.0e-10
O4+ + H2O -> O2+(H2O) + O2,1.7e-9
O2+(H2O) + H2O -> H3O+ + OH + O2,1.3e-9
N2O2+ + N2 -> O2+ + 2N2,1.1e-6*(300/Tg)**5.3*exp(-2357/Tg) 
N2O2+ + O2 -> O4+ + N2,1.0e-9
H3O+ + H2O + M -> H3O+(H2O) + M,3.4e-27*(300/Tg)**4
H3O+(H2O) + H2O + M -> H3O+(H2O)2 + M,2.3e-27*(300/Tg)**4
H3O+(H2O)2 + H2O + M -> H3O+(H2O)3 + M,2.4e-27*(300/Tg)**4
O2- + H -> OH- + O(3P),1.5e-9
H- + H2O -> OH- + H2,1.0e-9
