N2(A1) + O2 -> N2 + O(3P) + O(3P),c1,1.7e-12,cm
N2(A1) + O2 -> N2 + O2(b),c1,7.5e-13,cm
N2(A1) + O2 -> N2O + O(3P),c1,7.8e-12,cm
N2(A1) + N2(A1) -> N2 + N2(E),c1,1e-11,cm
N2(A1) + N2(A1) -> N2 + N2(B),c1,7.7e-11,cm
N2(A1) + N2(A1) -> N2 + N2(C),c1,1.6e-10,cm
N2(A1) + O(3P) -> N2 + O(1S),c1,3e-11,cm
N2(A1) + O(3P) -> NO + N(2D),c1,7e-12,cm
N2(A1) + O(3P) -> N2 + O(3P),c1,2e-11,cm
N2(A1) + H -> N2 + H,c1,2.1e-10,cm
N2(A1) + OH -> N2 + OH,c1,1e-10,cm
N2(A1) + H2O -> N2 + H + OH,c1,5e-14,cm
N2(A1) + NO -> N2 + NO(A),c1,6.9e-11,cm
N2(A2) + N2 -> N2(A1) + N2,c1,1e-11,cm
N2(A2) + O(3P) -> N2 + O(3P),c1,2e-11,cm
N2(A2) + H -> N2 + H,c1,2.1e-10,cm
N2(A2) + OH -> N2 + OH,c1,1e-10,cm
N2(A2) + H2O -> N2 + H + OH,c1,5e-14,cm
N2(A2) + NO -> N2 + NO(A),c1,6.9e-11,cm
N2(A2) + O(3P) -> NO + N(4S),c1,7e-12,cm
N2(B) + O2 -> N2 + O(3P) + O(3P),c1,3e-10,cm
N2(B) + N2 -> N2(A1) + N2,c1,1e-11,cm
N2(B) -> N2(A1),c1,1.5e5
N2(a) + O2 -> N2 + O(3P) + O(1D),c1,2.8e-11,cm
N2(a) + N2 -> N2(B) + N2,c1,2e-13,cm
N2(a) + N2 -> N2 + N2,c1,2e-13,cm
N2(a) + H2 -> N2 + H + H,c1,2.6e-10,cm
N2(a) + H2O -> N2 + OH + H,c1,3e-10,cm
N2(a) + NO -> N2 + N(4S) + O(3P),c1,3.6e-10,cm
N2(C) + O2 -> N2 + O(3P) + O(3P),c1,2.5e-10,cm
N2(C) + N2 -> N2(B) + N2,c1,1e-11,cm
N2(C) + N2 -> N2(a) + N2,c1,1e-11,cm
N2(C) -> N2(B),c1,2.8e7
