reaction,rate
O2- + M -> e + O2 + M,1.24e-11*exp(-(179/(8.8+Td))**2)
O- + N2 -> e + N2O,1.16e-12*exp(-(48.9/(11+Td))**2)
H- + O2 -> e + HO2,1.2e-9
O- + O2 + M -> O3- + M,1.1e-30*exp(-(Td/65)**2) 
O- + O2 -> O2- + O,6.96e-11*exp(-(198/(5.6+Td))**2)
O- + H2O -> OH- + OH,6.0e-13
H- + O2 -> O- + OH,1.0e-11
H- + O2 -> O2- + H,1.0e-11
H- + H2O -> OH- + H2,3.8e-9
O2- + H2O + M -> H2O3- + M,2.2e-28
H2O3- + H2O + M -> H4O4- + M,5.0e-28
H4O4- + H2O + M -> H6O5- + M,5.0e-29
H2O3- + M -> O2- + H2O + M,5.91e-9*exp(-(1.28e-19/(kb*(Tg+Td/0.18)))**1) 
H4O4- + M -> H2O3- + H2O + M,1.34e-8*exp(-(5.8e-20/(kb*(Tg+Td/0.18)))**1) 
H6O5- + M -> H4O4- + H2O + M,1.34e-9*exp(-(4.49e-20/(kb*(Tg+Td/0.18)))**1) 
N2+ + N2 + M -> N4+ + M,5.0e-29*(300/Tg)**2
N4+ + O2 -> O2+ + 2N2,2.5e-10
O2+ + O2 + M -> O4+ + M,2.4e-30*(300/Tg)**3
O2+ + H2O + M -> H2O3+ + M,2.6e-28
H2O3+ + H2O -> H3O+ + OH + O2,3.0e-10
H3O+ + H2O + M -> H5O2+ + M,3.0e-27
H5O2+ + H2O + M -> H7O3+ + M,3.0e-27
H7O3+ + H2O + M -> H9O4+ + M,3.0e-27 
e + O4+ -> O2 + O2,1.4e-6*(300/Te)**0.5
e + H9O4+ -> H + 4H2O,6.5e-6*(300/Te)**0.5
N2+ + O- -> 2N + O,1.0e-7
N2+ + O2- -> 2N + O2,1.0e-7
N2+ + O3- -> 2N + O3,1.0e-7
N2+ + H2O3- ->,1.0e-7
N2+ + H4O4- ->,1.0e-7
N2+ + H6O5- ->,1.0e-7
N4+ + O- -> 2N2 + O,1.0e-7
N4+ + O2- -> 2N2 + O2,1.0e-7
N4+ + O3- -> 2N2 + O3,1.0e-7
N4+ + H2O3- ->,1.0e-7
N4+ + H4O4- ->,1.0e-7
N4+ + H6O5- ->,1.0e-7
O2+ + O- -> 2O + O,1.0e-7
O2+ + O2- -> 2O + O2,1.0e-7
O2+ + O3- -> 2O + O3,1.0e-7
O2+ + H2O3- ->,1.0e-7
O2+ + H4O4- ->,1.0e-7
O2+ + H6O5- ->,1.0e-7
O4+ + O- -> 2O2 + O,1.0e-7
O4+ + O2- -> 2O2 + O2,1.0e-7
O4+ + O3- -> 2O2 + O3,1.0e-7
O4+ + H2O3- ->,1.0e-7
O4+ + H4O4- ->,1.0e-7
O4+ + H6O5- ->,1.0e-7
H2O3+ + O- ->,1.0e-7
H2O3+ + O2- ->,1.0e-7
H2O3+ + O3- ->,1.0e-7
H2O3+ + H2O3- ->,1.0e-7
H2O3+ + H4O4- ->,1.0e-7
H2O3+ + H6O5- ->,1.0e-7
H3O+ + O- ->,1.0e-7
H3O+ + O2- ->,1.0e-7
H3O+ + O3- ->,1.0e-7
H3O+ + H2O3- ->,1.0e-7
H3O+ + H4O4- ->,1.0e-7
H3O+ + H6O5- ->,1.0e-7
H5O2+ + O- ->,1.0e-7
H5O2+ + O2- ->,1.0e-7
H5O2+ + O3- ->,1.0e-7
H5O2+ + H2O3- ->,1.0e-7
H5O2+ + H4O4- ->,1.0e-7
H5O2+ + H6O5- ->,1.0e-7
H7O3+ + O- ->,1.0e-7
H7O3+ + O2- ->,1.0e-7
H7O3+ + O3- ->,1.0e-7
H7O3+ + H2O3- ->,1.0e-7
H7O3+ + H4O4- ->,1.0e-7
H7O3+ + H6O5- ->,1.0e-7
H9O4+ + O- ->,1.0e-7
H9O4+ + O2- ->,1.0e-7
H9O4+ + O3- ->,1.0e-7
H9O4+ + H2O3- ->,1.0e-7
H9O4+ + H4O4- ->,1.0e-7
H9O4+ + H6O5- ->,1.0e-7 
