BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
Ar                                                              
SigloDataBase-LXCat-04Jun2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
           1   2.000       3.470      0.1787E+25  0.9907E+25  0.2669E+25  0.7608E+25  0.5703E-13  0.9842E-13   0.000       0.000      0.7148E-17  0.7148E-17  0.5625E-23   0.000       12.38       4.000       1.000    
           2   2.102       3.554      0.1720E+25  0.9771E+25  0.2569E+25  0.7510E+25  0.5918E-13  0.1022E-12   0.000       0.000      0.7599E-17  0.7600E-17  0.2518E-22   0.000       14.80       8.000       2.000    
           3   2.407       3.792      0.1549E+25  0.9415E+25  0.2313E+25  0.7249E+25  0.6544E-13  0.1135E-12   0.000       0.000      0.8979E-17  0.8979E-17  0.8354E-21   0.000       14.80       4.000       1.000    
           4   2.916       4.149      0.1337E+25  0.8939E+25  0.1995E+25  0.6894E+25  0.7540E-13  0.1315E-12   0.000       0.000      0.1137E-16  0.1134E-16  0.3396E-19   0.000       14.80       4.000       1.000    
           5   3.629       4.563      0.1150E+25  0.8464E+25  0.1708E+25  0.6526E+25  0.8777E-13  0.1530E-12   0.000       0.000      0.1514E-16  0.1455E-16  0.5954E-18   0.000       14.80       4.000       1.000    
           6   4.546       4.914      0.1049E+25  0.8133E+25  0.1524E+25  0.6246E+25  0.9898E-13  0.1677E-12  0.5692E-30  0.1194E-33  0.2167E-16  0.1773E-16  0.3936E-17  0.2797E-29   17.68       8.000       2.000    
           7   5.666       5.129      0.1030E+25  0.7986E+25  0.1441E+25  0.6085E+25  0.1062E-12  0.1708E-12  0.3695E-27  0.6335E-31  0.3305E-16  0.1999E-16  0.1307E-16  0.1895E-26   17.68       4.000       1.000    
           8   6.989       5.246      0.1041E+25  0.7936E+25  0.1408E+25  0.6001E+25  0.1103E-12  0.1690E-12  0.4537E-25  0.6238E-29  0.5084E-16  0.2139E-16  0.2945E-16  0.2380E-24   17.68       4.000       1.000    
           9   8.517       5.321      0.1051E+25  0.7912E+25  0.1392E+25  0.5951E+25  0.1129E-12  0.1674E-12  0.1728E-23  0.1931E-27  0.7623E-16  0.2234E-16  0.5388E-16  0.9193E-23   17.68       4.000       1.000    
          10   10.25       5.382      0.1053E+25  0.7886E+25  0.1379E+25  0.5913E+25  0.1150E-12  0.1670E-12  0.2887E-22  0.2676E-26  0.1106E-15  0.2311E-16  0.8747E-16  0.1554E-21   21.11       8.000       2.000    
          11   12.18       5.440      0.1048E+25  0.7855E+25  0.1367E+25  0.5881E+25  0.1169E-12  0.1679E-12  0.2662E-21  0.2086E-25  0.1555E-15  0.2381E-16  0.1317E-15  0.1448E-20   21.11       4.000       1.000    
          12   14.32       5.500      0.1037E+25  0.7818E+25  0.1353E+25  0.5851E+25  0.1187E-12  0.1696E-12  0.1593E-20  0.1073E-24  0.2126E-15  0.2450E-16  0.1881E-15  0.8759E-20   21.11       4.000       1.000    
          13   16.66       5.562      0.1023E+25  0.7775E+25  0.1337E+25  0.5821E+25  0.1206E-12  0.1720E-12  0.6904E-20  0.4051E-24  0.2839E-15  0.2519E-16  0.2587E-15  0.3840E-19   21.11       4.000       1.000    
          14   19.21       5.627      0.1006E+25  0.7729E+25  0.1322E+25  0.5792E+25  0.1225E-12  0.1748E-12  0.2343E-19  0.1212E-23  0.3714E-15  0.2589E-16  0.3453E-15  0.1318E-18   21.11       4.000       1.000    
          15   21.96       5.694      0.9892E+24  0.7680E+25  0.1306E+25  0.5764E+25  0.1245E-12  0.1778E-12  0.6586E-19  0.3032E-23  0.4770E-15  0.2662E-16  0.4500E-15  0.3750E-18   25.19       8.000       2.000    
          16   24.91       5.763      0.9717E+24  0.7631E+25  0.1290E+25  0.5737E+25  0.1265E-12  0.1810E-12  0.1595E-18  0.6590E-23  0.6030E-15  0.2736E-16  0.5747E-15  0.9193E-18   25.19       4.000       1.000    
          17   28.07       5.835      0.9544E+24  0.7581E+25  0.1274E+25  0.5710E+25  0.1285E-12  0.1843E-12  0.3432E-18  0.1281E-22  0.7519E-15  0.2812E-16  0.7218E-15  0.2003E-17   25.19       4.000       1.000    
          18   31.43       5.907      0.9377E+24  0.7532E+25  0.1258E+25  0.5685E+25  0.1305E-12  0.1876E-12  0.6711E-18  0.2277E-22  0.9262E-15  0.2890E-16  0.8933E-15  0.3965E-17   25.19       4.000       1.000    
          19   34.99       5.981      0.9217E+24  0.7484E+25  0.1243E+25  0.5661E+25  0.1326E-12  0.1908E-12  0.1213E-17  0.3762E-22  0.1129E-14  0.2968E-16  0.1092E-14  0.7256E-17   25.19       4.000       1.000    
          20   38.76       6.055      0.9066E+24  0.7436E+25  0.1229E+25  0.5639E+25  0.1346E-12  0.1940E-12  0.2055E-17  0.5848E-22  0.1362E-14  0.3047E-16  0.1319E-14  0.1244E-16   30.06       8.000       2.000    
          21   42.73       6.130      0.8925E+24  0.7390E+25  0.1215E+25  0.5618E+25  0.1366E-12  0.1971E-12  0.3297E-17  0.8644E-22  0.1630E-14  0.3127E-16  0.1578E-14  0.2021E-16   30.06       4.000       1.000    
